Country,EdLevel,YearsCodePro,Salary
Brazil,Bachelor's Degree,4.0,22536.0
Brazil,Post Graduate Degree,4.0,10992.0
Brazil,Bachelor's Degree,3.0,5496.0
Brazil,Bachelor's Degree,4.0,17868.0
Brazil,Less than Bachelor's Degree,6.0,9072.0
Brazil,Bachelor's Degree,3.0,18326.0
Brazil,Less than Bachelor's Degree,8.0,5496.0
Brazil,Less than Bachelor's Degree,4.0,16035.0
Brazil,Less than Bachelor's Degree,6.0,26796.0
Brazil,Bachelor's Degree,5.0,82464.0
Brazil,Bachelor's Degree,2.0,27492.0
Brazil,Post Graduate Degree,4.0,17868.0
Brazil,Bachelor's Degree,8.0,41232.0
Brazil,Bachelor's Degree,4.0,27492.0
Brazil,Post Graduate Degree,4.0,27492.0
Brazil,Less than Bachelor's Degree,5.0,13973.0
Brazil,Less than Bachelor's Degree,2.0,5220.0
Brazil,Bachelor's Degree,10.0,16488.0
Brazil,Bachelor's Degree,2.0,9624.0
Brazil,Less than Bachelor's Degree,1.0,6876.0
Brazil,Less than Bachelor's Degree,6.0,30240.0
Brazil,Bachelor's Degree,0.5,5088.0
Brazil,Bachelor's Degree,2.0,9900.0
Brazil,Master's Degree,8.0,10992.0
Brazil,Less than Bachelor's Degree,7.0,18326.0
Brazil,Bachelor's Degree,2.0,9072.0
Brazil,Bachelor's Degree,3.0,13744.0
Brazil,Post Graduate Degree,3.0,58167.0
Brazil,Bachelor's Degree,5.0,24744.0
Brazil,Bachelor's Degree,5.0,10308.0
Brazil,Bachelor's Degree,7.0,41232.0
Brazil,Master's Degree,4.0,27492.0
Brazil,Bachelor's Degree,3.0,15948.0
Brazil,Bachelor's Degree,7.0,103081.0
Brazil,Less than Bachelor's Degree,4.0,13740.0
Brazil,Bachelor's Degree,6.0,72000.0
Brazil,Less than Bachelor's Degree,1.0,6600.0
Brazil,Bachelor's Degree,8.0,35736.0
Brazil,Bachelor's Degree,4.0,29688.0
Brazil,Bachelor's Degree,3.0,54972.0
Brazil,Less than Bachelor's Degree,0.5,6456.0
Brazil,Less than Bachelor's Degree,2.0,4944.0
Brazil,Less than Bachelor's Degree,0.5,5496.0
Brazil,Less than Bachelor's Degree,6.0,11544.0
Brazil,Bachelor's Degree,10.0,70560.0
Brazil,Master's Degree,6.0,16488.0
Brazil,Bachelor's Degree,2.0,8244.0
Brazil,Less than Bachelor's Degree,4.0,13200.0
Brazil,Bachelor's Degree,9.0,21996.0
Brazil,Master's Degree,4.0,6048.0
Brazil,Less than Bachelor's Degree,10.0,32988.0
Brazil,Bachelor's Degree,4.0,31608.0
Brazil,Bachelor's Degree,3.0,17388.0
Brazil,Bachelor's Degree,5.0,19788.0
Brazil,Bachelor's Degree,1.0,10716.0
Brazil,Bachelor's Degree,2.0,11304.0
Brazil,Less than Bachelor's Degree,6.0,24744.0
Brazil,Bachelor's Degree,6.0,43980.0
Brazil,Master's Degree,6.0,21660.0
Brazil,Bachelor's Degree,8.0,34360.0
Brazil,Bachelor's Degree,3.0,5496.0
Brazil,Bachelor's Degree,3.0,10176.0
Brazil,Bachelor's Degree,4.0,16488.0
Brazil,Bachelor's Degree,10.0,28584.0
Brazil,Bachelor's Degree,9.0,36144.0
Brazil,Bachelor's Degree,8.0,13740.0
Brazil,Less than Bachelor's Degree,1.0,6324.0
Brazil,Bachelor's Degree,5.0,9564.0
Brazil,Bachelor's Degree,4.0,9624.0
Brazil,Bachelor's Degree,8.0,32988.0
Brazil,Bachelor's Degree,5.0,46728.0
Brazil,Bachelor's Degree,2.0,19236.0
Brazil,Less than Bachelor's Degree,4.0,19236.0
Brazil,Less than Bachelor's Degree,6.0,10992.0
Brazil,Less than Bachelor's Degree,6.0,57600.0
Brazil,Less than Bachelor's Degree,1.0,6876.0
Brazil,Less than Bachelor's Degree,3.0,12096.0
Brazil,Less than Bachelor's Degree,3.0,10995.0
Brazil,Bachelor's Degree,6.0,200000.0
Brazil,Bachelor's Degree,9.0,24744.0
Brazil,Bachelor's Degree,4.0,21996.0
Brazil,Less than Bachelor's Degree,2.0,10440.0
Brazil,Bachelor's Degree,4.0,15120.0
Brazil,Bachelor's Degree,6.0,5496.0
Brazil,Bachelor's Degree,5.0,13740.0
Brazil,Bachelor's Degree,2.0,6876.0
Brazil,Master's Degree,10.0,10992.0
Brazil,Less than Bachelor's Degree,3.0,41232.0
Brazil,Bachelor's Degree,8.0,16488.0
Brazil,Bachelor's Degree,2.0,12924.0
Brazil,Master's Degree,10.0,27488.0
Brazil,Less than Bachelor's Degree,0.5,6048.0
Brazil,Less than Bachelor's Degree,3.0,12372.0
Brazil,Less than Bachelor's Degree,2.0,19236.0
Brazil,Less than Bachelor's Degree,2.0,14889.0
Brazil,Less than Bachelor's Degree,3.0,8796.0
Brazil,Bachelor's Degree,10.0,30000.0
Brazil,Less than Bachelor's Degree,5.0,43980.0
Brazil,Bachelor's Degree,4.0,19236.0
Brazil,Less than Bachelor's Degree,2.0,10440.0
Brazil,Bachelor's Degree,10.0,19512.0
Brazil,Bachelor's Degree,5.0,38484.0
Brazil,Bachelor's Degree,7.0,85494.0
Brazil,Master's Degree,3.0,11544.0
Brazil,Less than Bachelor's Degree,2.0,14628.0
Brazil,Bachelor's Degree,6.0,41232.0
Brazil,Less than Bachelor's Degree,5.0,49476.0
Brazil,Less than Bachelor's Degree,6.0,9624.0
Brazil,Less than Bachelor's Degree,3.0,4128.0
Brazil,Bachelor's Degree,3.0,22260.0
Brazil,Bachelor's Degree,10.0,41232.0
Brazil,Bachelor's Degree,9.0,10992.0
Brazil,Bachelor's Degree,3.0,35048.0
Brazil,Bachelor's Degree,7.0,17868.0
Brazil,Bachelor's Degree,0.5,17040.0
Brazil,Less than Bachelor's Degree,2.0,10440.0
