Country,EdLevel,YearsCodePro,Salary
Canada,Bachelor's Degree,6.0,46135.0
Canada,Less than Bachelor's Degree,10.0,71850.0
Canada,Post Graduate Degree,8.0,151263.0
Canada,Master's Degree,5.0,63530.0
Canada,Master's Degree,3.0,98321.0
Canada,Bachelor's Degree,4.0,75631.0
Canada,Master's Degree,6.0,68068.0
Canada,Bachelor's Degree,8.0,71850.0
Canada,Less than Bachelor's Degree,7.0,90758.0
Canada,Less than Bachelor's Degree,5.0,31750.0
Canada,Bachelor's Degree,9.0,83194.0
Canada,Bachelor's Degree,5.0,77900.0
Canada,Bachelor's Degree,1.0,49160.0
Canada,Bachelor's Degree,3.0,52942.0
Canada,Bachelor's Degree,5.0,55211.0
Canada,Bachelor's Degree,10.0,68068.0
Canada,Bachelor's Degree,2.0,66556.0
Canada,Less than Bachelor's Degree,3.0,60505.0
Canada,Bachelor's Degree,3.0,31400.0
Canada,Less than Bachelor's Degree,4.0,55967.0
Canada,Master's Degree,10.0,90758.0
Canada,Master's Degree,6.0,96808.0
Canada,Post Graduate Degree,5.0,75631.0
Canada,Less than Bachelor's Degree,5.0,75631.0
Canada,Less than Bachelor's Degree,5.0,86976.0
Canada,Less than Bachelor's Degree,5.0,60505.0
Canada,Bachelor's Degree,8.0,73741.0
Canada,Bachelor's Degree,10.0,56723.0
Canada,Less than Bachelor's Degree,10.0,50673.0
Canada,Bachelor's Degree,10.0,121010.0
Canada,Less than Bachelor's Degree,2.0,24200.0
Canada,Bachelor's Degree,5.0,56723.0
Canada,Less than Bachelor's Degree,8.0,60505.0
Canada,Master's Degree,1.0,51429.0
Canada,Bachelor's Degree,6.0,58236.0
Canada,Bachelor's Degree,5.0,58236.0
Canada,Bachelor's Degree,3.0,64287.0
Canada,Master's Degree,2.0,45379.0
Canada,Bachelor's Degree,6.0,56723.0
Canada,Bachelor's Degree,9.0,83951.0
Canada,Bachelor's Degree,9.0,79413.0
Canada,Bachelor's Degree,3.0,68068.0
Canada,Master's Degree,5.0,66556.0
Canada,Less than Bachelor's Degree,2.0,30250.0
Canada,Less than Bachelor's Degree,10.0,83194.0
Canada,Bachelor's Degree,6.0,60505.0
Canada,Bachelor's Degree,6.0,44622.0
Canada,Bachelor's Degree,5.0,86976.0
Canada,Bachelor's Degree,7.0,60505.0
Canada,Bachelor's Degree,5.0,86976.0
Canada,Bachelor's Degree,4.0,52942.0
Canada,Master's Degree,5.0,68068.0
Canada,Less than Bachelor's Degree,3.0,84329.0
