,Country,EdLevel,YearsCodePro,Salary
0,0,2,2.0,96874.0
1,0,0,1.0,40086.0
2,0,1,0.5,60132.0
3,0,3,7.0,76831.0
4,0,0,5.0,86853.0
5,0,2,3.0,40086.0
6,0,0,5.0,40080.0
7,0,0,2.0,56788.0
8,0,1,10.0,120257.0
9,0,0,6.0,63469.0
10,0,0,9.0,96874.0
11,0,0,7.0,100214.0
12,0,0,5.0,86853.0
13,0,0,4.0,52112.0
14,0,0,8.0,120257.0
15,0,0,6.0,106895.0
16,0,2,6.0,70818.0
17,0,3,5.0,83512.0
18,0,0,3.0,60129.0
19,0,0,9.0,40300.0
20,0,1,5.0,46767.0
21,0,0,4.0,27264.0
22,0,0,2.0,43426.0
23,0,0,10.0,47520.0
24,0,1,10.0,63469.0
25,0,0,5.0,73491.0
26,0,1,6.0,56788.0
27,0,0,7.0,60129.0
28,0,0,3.0,51443.0
29,0,0,3.0,71486.0
30,0,2,6.0,117585.0
31,0,1,5.0,50775.0
32,0,0,5.0,60797.0
33,0,2,9.0,60129.0
34,0,0,6.0,87521.0
35,0,0,5.0,60129.0
36,0,0,2.0,73491.0
37,0,2,5.0,62133.0
38,0,0,1.0,126938.0
39,0,3,5.0,43426.0
40,0,0,10.0,93533.0
41,0,0,8.0,61465.0
42,0,0,2.0,43426.0
43,0,0,7.0,120257.0
44,0,0,2.0,133619.0
45,0,0,2.0,37948.0
46,0,1,8.0,90193.0
47,0,0,3.0,60354.0
48,0,0,1.0,39120.0
49,0,0,5.0,57456.0
50,0,0,8.0,66810.0
51,0,0,4.0,66810.0
52,0,2,5.0,73491.0
53,0,2,6.0,62133.0
54,0,3,6.0,57323.0
55,0,1,8.0,77772.0
56,0,0,5.0,84180.0
57,0,0,2.0,46767.0
58,0,0,7.0,66810.0
59,0,0,2.0,38750.0
60,0,1,2.0,50107.0
61,0,0,4.0,66810.0
62,0,2,3.0,80172.0
63,0,0,6.0,120257.0
64,0,0,5.0,52112.0
65,0,3,2.0,60129.0
66,0,0,5.0,51440.0
67,0,1,5.0,60129.0
68,0,0,3.0,49974.0
69,0,2,3.0,46767.0
70,0,1,8.0,70150.0
71,0,0,4.0,40086.0
72,0,0,3.0,106895.0
73,0,0,3.0,40086.0
74,0,2,3.0,53448.0
75,0,1,10.0,80172.0
76,0,0,5.0,72154.0
77,0,0,5.0,76831.0
78,0,2,3.0,56124.0
79,0,1,5.0,63469.0
80,0,0,5.0,123598.0
81,0,0,2.0,71820.0
82,0,0,4.0,57623.0
83,0,0,10.0,80172.0
84,0,1,0.5,30064.0
85,0,0,10.0,66810.0
86,0,0,5.0,100214.0
87,0,0,6.0,80172.0
88,0,1,8.0,66810.0
89,0,0,3.0,60129.0
90,0,0,9.0,80172.0
91,0,0,5.0,73491.0
92,0,2,4.0,76831.0
93,0,1,6.0,34741.0
94,0,0,3.0,55160.0
95,0,0,3.0,35650.0
96,0,0,4.0,40100.0
97,0,2,5.0,70818.0
98,0,0,5.0,86853.0
99,0,0,2.0,100200.0
100,0,0,8.0,113910.0
101,0,3,8.0,83512.0
102,0,0,6.0,98210.0
103,0,2,10.0,106895.0
104,0,0,3.0,80172.0
105,0,0,4.0,53448.0
106,0,2,3.0,53448.0
107,0,0,2.0,46767.0
108,0,3,1.0,60129.0
109,0,2,0.5,46767.0
110,0,0,1.0,43426.0
111,0,2,2.0,60736.0
112,0,0,5.0,66800.0
113,0,1,10.0,133619.0
114,0,0,4.0,53448.0
115,0,2,3.0,46767.0
116,0,1,7.0,63469.0
117,0,1,10.0,32737.0
118,0,0,9.0,60129.0
119,0,0,5.0,79503.0
120,0,1,4.0,54784.0
121,0,0,9.0,66810.0
122,0,0,5.0,102800.0
123,0,1,8.0,100214.0
124,0,0,5.0,36750.0
125,0,1,6.0,75495.0
126,0,0,3.0,59861.0
127,0,0,2.0,54784.0
128,0,0,3.0,57456.0
129,0,1,4.0,61465.0
130,0,0,5.0,63135.0
131,0,0,4.0,60129.0
132,0,0,2.0,55452.0
133,0,0,0.5,35100.0
134,0,0,3.0,43426.0
135,0,0,2.0,40086.0
136,0,0,5.0,66810.0
137,0,2,3.0,60129.0
138,0,0,2.0,40086.0
139,0,0,9.0,53448.0
140,0,0,5.0,66810.0
141,0,0,8.0,63469.0
142,0,2,5.0,100214.0
143,0,0,9.0,123598.0
144,0,0,8.0,93533.0
145,0,1,1.0,43426.0
146,0,0,4.0,48771.0
147,0,0,6.0,67478.0
148,0,0,6.0,93533.0
149,0,0,4.0,44094.0
150,0,1,0.5,36745.0
151,0,2,2.0,43426.0
152,0,0,9.0,74827.0
153,0,0,7.0,86853.0
154,0,1,1.0,53448.0
155,0,1,9.0,46750.0
156,0,1,2.0,44762.0
157,0,2,2.0,80172.0
158,0,0,6.0,38750.0
159,0,0,7.0,43426.0
160,0,1,8.0,48771.0
161,0,1,0.5,36745.0
162,0,1,2.0,66810.0
163,0,0,4.0,40086.0
164,0,0,6.0,133619.0
165,0,3,7.0,106895.0
166,0,0,8.0,60129.0
167,0,0,3.0,41756.0
168,0,1,1.0,41756.0
169,0,0,2.0,36745.0
170,0,0,5.0,74827.0
171,0,0,6.0,80172.0
172,0,2,10.0,93533.0
173,0,0,9.0,91529.0
174,0,0,6.0,48103.0
175,0,1,8.0,126938.0
176,0,2,7.0,73491.0
177,0,0,7.0,86853.0
178,0,0,8.0,76831.0
179,0,0,5.0,80172.0
180,0,3,8.0,66810.0
181,0,0,4.0,60150.0
182,0,1,3.0,27264.0
183,0,0,9.0,73491.0
184,0,0,6.0,33405.0
185,0,0,10.0,39288.0
186,0,0,1.0,66810.0
187,0,0,6.0,86853.0
188,0,2,3.0,66810.0
