Country,EdLevel,YearsCodePro,Salary
France,Master's Degree,2.0,38915.0
France,Master's Degree,3.0,25944.0
France,Master's Degree,2.0,45401.0
France,Master's Degree,5.0,49725.0
France,Master's Degree,5.0,44320.0
France,Master's Degree,9.0,64859.0
France,Master's Degree,7.0,77831.0
France,Master's Degree,7.0,41077.0
France,Master's Degree,3.0,48644.0
France,Master's Degree,9.0,45396.0
France,Master's Degree,6.0,88640.0
France,Master's Degree,10.0,48644.0
France,Master's Degree,6.0,69183.0
France,Master's Degree,7.0,64859.0
France,Master's Degree,5.0,36753.0
France,Less than Bachelor's Degree,3.0,41077.0
France,Master's Degree,5.0,45401.0
France,Master's Degree,5.0,39131.0
France,Master's Degree,6.0,46482.0
France,Post Graduate Degree,3.0,54049.0
France,Master's Degree,4.0,46482.0
France,Master's Degree,6.0,34584.0
France,Master's Degree,3.0,81074.0
France,Master's Degree,2.0,45401.0
France,Master's Degree,4.0,48644.0
France,Master's Degree,3.0,37834.0
France,Master's Degree,7.0,39456.0
France,Post Graduate Degree,0.5,24000.0
France,Master's Degree,3.0,48644.0
France,Master's Degree,5.0,30916.0
France,Master's Degree,6.0,44320.0
France,Bachelor's Degree,10.0,33732.0
France,Master's Degree,7.0,52968.0
France,Master's Degree,4.0,41077.0
France,Master's Degree,2.0,37834.0
France,Master's Degree,5.0,42158.0
France,Post Graduate Degree,8.0,43239.0
France,Bachelor's Degree,4.0,24696.0
France,Master's Degree,1.0,45401.0
France,Master's Degree,4.0,45401.0
France,Bachelor's Degree,6.0,56211.0
France,Master's Degree,2.0,54049.0
France,Bachelor's Degree,2.0,36753.0
France,Master's Degree,3.0,48644.0
France,Master's Degree,7.0,54049.0
France,Master's Degree,6.0,54049.0
France,Master's Degree,0.5,41508.0
France,Master's Degree,6.0,43239.0
France,Master's Degree,5.0,54049.0
France,Master's Degree,4.0,48644.0
France,Master's Degree,2.0,48644.0
France,Master's Degree,4.0,45401.0
France,Master's Degree,4.0,39996.0
France,Master's Degree,6.0,43239.0
France,Master's Degree,6.0,50806.0
France,Master's Degree,9.0,49725.0
France,Master's Degree,2.0,50806.0
France,Bachelor's Degree,7.0,41077.0
France,Master's Degree,4.0,18804.0
France,Master's Degree,8.0,81074.0
France,Master's Degree,3.0,50806.0
France,Master's Degree,9.0,29184.0
France,Master's Degree,4.0,43239.0
France,Post Graduate Degree,2.0,32424.0
France,Master's Degree,7.0,64859.0
France,Master's Degree,7.0,18156.0
France,Master's Degree,9.0,51887.0
France,Master's Degree,5.0,48644.0
France,Master's Degree,5.0,45401.0
France,Master's Degree,3.0,67021.0
France,Bachelor's Degree,3.0,103776.0
France,Master's Degree,7.0,47023.0
France,Master's Degree,6.0,71345.0
France,Bachelor's Degree,8.0,36753.0
France,Master's Degree,7.0,75669.0
France,Bachelor's Degree,3.0,43239.0
France,Master's Degree,3.0,32424.0
France,Master's Degree,4.0,51887.0
France,Master's Degree,9.0,54049.0
France,Master's Degree,2.0,43239.0
France,Master's Degree,1.0,151337.0
France,Master's Degree,7.0,81074.0
France,Bachelor's Degree,2.0,56211.0
France,Master's Degree,2.0,34596.0
France,Master's Degree,10.0,55130.0
France,Master's Degree,6.0,97288.0
France,Master's Degree,4.0,29616.0
France,Post Graduate Degree,7.0,70264.0
France,Master's Degree,4.0,46482.0
France,Master's Degree,4.0,85128.0
France,Master's Degree,10.0,31128.0
France,Master's Degree,0.5,16212.0
France,Master's Degree,2.0,28536.0
France,Master's Degree,5.0,51887.0
France,Master's Degree,4.0,35672.0
France,Master's Degree,2.0,45401.0
France,Master's Degree,1.0,42158.0
France,Post Graduate Degree,6.0,38916.0
France,Master's Degree,4.0,42720.0
France,Master's Degree,5.0,44100.0
France,Master's Degree,5.0,38916.0
France,Master's Degree,7.0,38915.0
France,Master's Degree,10.0,52968.0
France,Master's Degree,7.0,106731.0
France,Bachelor's Degree,4.0,61616.0
France,Bachelor's Degree,3.0,22704.0
France,Master's Degree,6.0,49725.0
France,Master's Degree,0.5,25944.0
France,Post Graduate Degree,4.0,43239.0
France,Bachelor's Degree,3.0,33732.0
France,Master's Degree,1.0,33732.0
France,Master's Degree,2.0,40537.0
France,Post Graduate Degree,8.0,73507.0
France,Master's Degree,10.0,70264.0
France,Bachelor's Degree,9.0,58373.0
France,Bachelor's Degree,5.0,18156.0
France,Bachelor's Degree,4.0,41077.0
France,Master's Degree,5.0,50728.0
France,Master's Degree,0.5,38915.0
France,Master's Degree,3.0,35028.0
France,Bachelor's Degree,1.0,11940.0
France,Master's Degree,2.0,38915.0
France,Master's Degree,3.0,37834.0
France,Bachelor's Degree,1.0,7140.0
France,Master's Degree,5.0,61616.0
France,Less than Bachelor's Degree,6.0,54049.0
France,Bachelor's Degree,3.0,70044.0
France,Master's Degree,4.0,43239.0
France,Bachelor's Degree,8.0,59454.0
France,Bachelor's Degree,8.0,54049.0
France,Master's Degree,4.0,42158.0
France,Post Graduate Degree,4.0,29832.0
France,Master's Degree,2.0,49725.0
France,Master's Degree,6.0,41077.0
France,Bachelor's Degree,1.0,19452.0
France,Master's Degree,3.0,43239.0
France,Master's Degree,7.0,38915.0
France,Bachelor's Degree,3.0,50806.0
France,Bachelor's Degree,2.0,27240.0
France,Master's Degree,3.0,37834.0
France,Master's Degree,5.0,64859.0
France,Less than Bachelor's Degree,0.5,37620.0
France,Master's Degree,6.0,31128.0
France,Less than Bachelor's Degree,8.0,70264.0
France,Master's Degree,3.0,41077.0
France,Master's Degree,9.0,35672.0
France,Master's Degree,8.0,78912.0
France,Master's Degree,9.0,70264.0
France,Master's Degree,10.0,40044.0
France,Master's Degree,6.0,30267.0
France,Master's Degree,6.0,39996.0
France,Master's Degree,3.0,43239.0
France,Bachelor's Degree,10.0,81050.0
France,Master's Degree,3.0,43239.0
France,Post Graduate Degree,6.0,39108.0
France,Master's Degree,7.0,54049.0
France,Less than Bachelor's Degree,5.0,43239.0
France,Master's Degree,1.0,33510.0
France,Master's Degree,5.0,32424.0
France,Post Graduate Degree,10.0,67021.0
France,Master's Degree,3.0,39996.0
France,Master's Degree,10.0,59454.0
France,Master's Degree,6.0,31132.0
France,Bachelor's Degree,3.0,32424.0
France,Master's Degree,2.0,32652.0
France,Master's Degree,5.0,48644.0
France,Bachelor's Degree,2.0,25944.0
France,Master's Degree,4.0,43780.0
France,Master's Degree,8.0,60535.0
France,Master's Degree,2.0,32429.0
France,Master's Degree,6.0,51887.0
France,Master's Degree,6.0,46482.0
France,Master's Degree,1.0,34591.0
France,Master's Degree,5.0,39312.0
France,Post Graduate Degree,6.0,37834.0
France,Master's Degree,3.0,37834.0
France,Bachelor's Degree,4.0,34591.0
France,Master's Degree,9.0,108098.0
France,Master's Degree,5.0,28536.0
France,Master's Degree,8.0,75669.0
France,Less than Bachelor's Degree,5.0,38916.0
France,Master's Degree,4.0,37834.0
France,Master's Degree,4.0,49725.0
France,Less than Bachelor's Degree,3.0,33732.0
France,Master's Degree,5.0,50806.0
France,Master's Degree,5.0,54049.0
France,Master's Degree,3.0,12972.0
France,Master's Degree,6.0,41077.0
France,Master's Degree,0.5,37834.0
France,Master's Degree,6.0,45401.0
France,Master's Degree,7.0,71561.0
France,Post Graduate Degree,10.0,29832.0
France,Master's Degree,3.0,48644.0
France,Less than Bachelor's Degree,1.0,20760.0
France,Master's Degree,10.0,121979.0
France,Master's Degree,3.0,59454.0
France,Master's Degree,8.0,48644.0
France,Master's Degree,4.0,59000.0
France,Master's Degree,3.0,51888.0
France,Post Graduate Degree,3.0,32429.0
France,Master's Degree,10.0,65940.0
France,Master's Degree,1.0,51228.0
France,Master's Degree,5.0,28536.0
France,Bachelor's Degree,4.0,32429.0
France,Master's Degree,7.0,27240.0
France,Master's Degree,6.0,42158.0
France,Bachelor's Degree,9.0,59454.0
France,Master's Degree,10.0,59454.0
France,Master's Degree,8.0,64859.0
France,Less than Bachelor's Degree,3.0,35132.0
France,Bachelor's Degree,6.0,72426.0
France,Master's Degree,1.0,32429.0
France,Less than Bachelor's Degree,6.0,44320.0
France,Less than Bachelor's Degree,10.0,70264.0
France,Master's Degree,10.0,59454.0
France,Post Graduate Degree,4.0,36972.0
France,Bachelor's Degree,3.0,75669.0
France,Master's Degree,1.0,51076.0
France,Master's Degree,3.0,31128.0
France,Master's Degree,2.0,34591.0
France,Master's Degree,4.0,39996.0
France,Bachelor's Degree,2.0,32429.0
France,Master's Degree,5.0,44536.0
France,Master's Degree,3.0,42699.0
France,Bachelor's Degree,4.0,22056.0
France,Master's Degree,2.0,18036.0
France,Bachelor's Degree,3.0,32424.0
France,Master's Degree,3.0,45401.0
France,Master's Degree,2.0,33510.0
France,Master's Degree,8.0,51887.0
France,Master's Degree,3.0,25944.0
France,Master's Degree,3.0,31776.0
France,Master's Degree,2.0,39996.0
France,Master's Degree,2.0,34591.0
France,Master's Degree,4.0,25944.0
France,Bachelor's Degree,7.0,56211.0
France,Master's Degree,8.0,38916.0
France,Master's Degree,2.0,38916.0
France,Bachelor's Degree,0.5,25944.0
France,Less than Bachelor's Degree,10.0,516.0
France,Master's Degree,6.0,37834.0
France,Master's Degree,6.0,45401.0
France,Master's Degree,2.0,37834.0
France,Master's Degree,6.0,36753.0
France,Master's Degree,9.0,45396.0
France,Master's Degree,1.0,38916.0
France,Bachelor's Degree,7.0,59454.0
France,Less than Bachelor's Degree,2.0,29832.0
France,Post Graduate Degree,4.0,22056.0
France,Master's Degree,1.0,19800.0
France,Master's Degree,3.0,19452.0
France,Master's Degree,6.0,36321.0
France,Master's Degree,4.0,40537.0
France,Bachelor's Degree,9.0,54049.0
France,Master's Degree,1.0,25944.0
France,Master's Degree,8.0,54049.0
France,Master's Degree,2.0,9084.0
France,Master's Degree,2.0,7788.0
France,Bachelor's Degree,5.0,48644.0
France,Bachelor's Degree,8.0,23844.0
France,Master's Degree,5.0,43239.0
France,Less than Bachelor's Degree,5.0,43239.0
France,Master's Degree,0.5,12648.0
