Country,EdLevel,YearsCodePro,Salary
Germany,Master's Degree,6.0,77290.0
Germany,Master's Degree,10.0,60535.0
Germany,Less than Bachelor's Degree,5.0,51888.0
Germany,Less than Bachelor's Degree,3.0,42158.0
Germany,Bachelor's Degree,7.0,32424.0
Germany,Post Graduate Degree,8.0,74588.0
Germany,Master's Degree,2.0,54049.0
Germany,Master's Degree,5.0,56211.0
Germany,Less than Bachelor's Degree,6.0,48644.0
Germany,Master's Degree,9.0,58373.0
Germany,Bachelor's Degree,6.0,61616.0
Germany,Less than Bachelor's Degree,7.0,58373.0
Germany,Bachelor's Degree,1.0,64859.0
Germany,Bachelor's Degree,3.0,59454.0
Germany,Bachelor's Degree,3.0,31128.0
Germany,Bachelor's Degree,7.0,86478.0
Germany,Less than Bachelor's Degree,4.0,36324.0
Germany,Bachelor's Degree,5.0,101612.0
Germany,Bachelor's Degree,7.0,43239.0
Germany,Post Graduate Degree,7.0,51888.0
Germany,Master's Degree,10.0,77832.0
Germany,Master's Degree,4.0,45401.0
Germany,Master's Degree,4.0,54049.0
Germany,Bachelor's Degree,2.0,54049.0
Germany,Less than Bachelor's Degree,7.0,54480.0
Germany,Master's Degree,5.0,31128.0
Germany,Master's Degree,0.5,51888.0
Germany,Bachelor's Degree,2.0,41040.0
Germany,Master's Degree,6.0,84312.0
Germany,Master's Degree,7.0,81074.0
Germany,Master's Degree,10.0,68102.0
Germany,Master's Degree,7.0,88208.0
Germany,Master's Degree,7.0,91883.0
Germany,Bachelor's Degree,5.0,51887.0
Germany,Bachelor's Degree,6.0,86478.0
Germany,Bachelor's Degree,7.0,60427.0
Germany,Less than Bachelor's Degree,5.0,47563.0
Germany,Master's Degree,3.0,81074.0
Germany,Bachelor's Degree,3.0,60972.0
Germany,Post Graduate Degree,6.0,62481.0
Germany,Bachelor's Degree,5.0,73507.0
Germany,Master's Degree,7.0,85397.0
Germany,Master's Degree,10.0,97288.0
Germany,Master's Degree,3.0,40212.0
Germany,Post Graduate Degree,2.0,108098.0
Germany,Less than Bachelor's Degree,6.0,67021.0
Germany,Bachelor's Degree,8.0,62697.0
Germany,Bachelor's Degree,4.0,62268.0
Germany,Less than Bachelor's Degree,5.0,55776.0
Germany,Post Graduate Degree,3.0,75669.0
Germany,Bachelor's Degree,4.0,165000.0
Germany,Less than Bachelor's Degree,3.0,31908.0
Germany,Master's Degree,7.0,75669.0
Germany,Master's Degree,9.0,94045.0
Germany,Bachelor's Degree,0.5,56211.0
Germany,Bachelor's Degree,7.0,97504.0
Germany,Less than Bachelor's Degree,5.0,63778.0
Germany,Bachelor's Degree,7.0,70264.0
Germany,Less than Bachelor's Degree,6.0,39564.0
Germany,Less than Bachelor's Degree,3.0,43239.0
Germany,Bachelor's Degree,3.0,67452.0
Germany,Bachelor's Degree,7.0,77831.0
Germany,Master's Degree,0.5,51887.0
Germany,Master's Degree,6.0,70044.0
Germany,Master's Degree,4.0,73511.0
Germany,Less than Bachelor's Degree,6.0,25944.0
Germany,Master's Degree,5.0,51888.0
Germany,Less than Bachelor's Degree,3.0,38448.0
Germany,Less than Bachelor's Degree,1.0,32429.0
Germany,Master's Degree,7.0,86478.0
Germany,Master's Degree,9.0,92964.0
Germany,Master's Degree,10.0,91883.0
Germany,Bachelor's Degree,5.0,70264.0
Germany,Bachelor's Degree,4.0,54480.0
Germany,Bachelor's Degree,5.0,54049.0
Germany,Less than Bachelor's Degree,2.0,59454.0
Germany,Bachelor's Degree,5.0,63778.0
Germany,Master's Degree,8.0,1464.0
Germany,Bachelor's Degree,0.5,18804.0
Germany,Post Graduate Degree,10.0,54480.0
Germany,Bachelor's Degree,5.0,33732.0
Germany,Master's Degree,2.0,43239.0
Germany,Master's Degree,10.0,58373.0
Germany,Bachelor's Degree,10.0,97288.0
Germany,Less than Bachelor's Degree,4.0,59454.0
Germany,Less than Bachelor's Degree,1.0,12972.0
Germany,Less than Bachelor's Degree,10.0,129718.0
Germany,Master's Degree,9.0,75669.0
Germany,Master's Degree,9.0,40212.0
Germany,Less than Bachelor's Degree,0.5,33732.0
Germany,Less than Bachelor's Degree,4.0,35676.0
Germany,Master's Degree,3.0,54480.0
Germany,Less than Bachelor's Degree,5.0,28538.0
Germany,Less than Bachelor's Degree,9.0,81074.0
Germany,Bachelor's Degree,3.0,75669.0
Germany,Bachelor's Degree,2.0,64859.0
Germany,Bachelor's Degree,7.0,69183.0
Germany,Less than Bachelor's Degree,6.0,54049.0
Germany,Master's Degree,5.0,59454.0
Germany,Bachelor's Degree,7.0,84316.0
Germany,Master's Degree,9.0,86478.0
Germany,Less than Bachelor's Degree,10.0,41508.0
Germany,Less than Bachelor's Degree,3.0,57292.0
Germany,Less than Bachelor's Degree,9.0,54049.0
Germany,Master's Degree,7.0,64805.0
Germany,Master's Degree,10.0,116520.0
Germany,Bachelor's Degree,7.0,96207.0
Germany,Bachelor's Degree,2.0,47556.0
Germany,Less than Bachelor's Degree,7.0,40212.0
Germany,Master's Degree,2.0,37188.0
Germany,Less than Bachelor's Degree,2.0,10380.0
Germany,Bachelor's Degree,10.0,151337.0
Germany,Bachelor's Degree,3.0,37834.0
Germany,Master's Degree,5.0,64859.0
Germany,Master's Degree,10.0,77831.0
Germany,Master's Degree,2.0,36324.0
Germany,Master's Degree,5.0,91883.0
Germany,Less than Bachelor's Degree,10.0,110260.0
Germany,Less than Bachelor's Degree,3.0,37834.0
Germany,Post Graduate Degree,7.0,64860.0
Germany,Bachelor's Degree,5.0,70264.0
Germany,Bachelor's Degree,6.0,67021.0
Germany,Post Graduate Degree,7.0,56880.0
Germany,Less than Bachelor's Degree,1.0,14268.0
Germany,Master's Degree,6.0,75669.0
Germany,Post Graduate Degree,8.0,91883.0
Germany,Bachelor's Degree,2.0,43239.0
Germany,Bachelor's Degree,2.0,60972.0
Germany,Less than Bachelor's Degree,6.0,48648.0
Germany,Master's Degree,1.0,54049.0
Germany,Post Graduate Degree,0.5,76020.0
Germany,Bachelor's Degree,8.0,64859.0
Germany,Less than Bachelor's Degree,4.0,43239.0
Germany,Bachelor's Degree,7.0,48644.0
Germany,Master's Degree,4.0,62697.0
Germany,Master's Degree,2.0,82860.0
Germany,Bachelor's Degree,8.0,36324.0
Germany,Post Graduate Degree,7.0,108098.0
Germany,Master's Degree,2.0,33732.0
Germany,Less than Bachelor's Degree,3.0,48644.0
Germany,Post Graduate Degree,8.0,75669.0
Germany,Master's Degree,0.5,46698.0
Germany,Master's Degree,0.5,64859.0
Germany,Post Graduate Degree,5.0,64859.0
Germany,Bachelor's Degree,4.0,45396.0
Germany,Master's Degree,4.0,54049.0
Germany,Bachelor's Degree,4.0,64859.0
Germany,Less than Bachelor's Degree,7.0,70264.0
Germany,Less than Bachelor's Degree,6.0,54480.0
Germany,Master's Degree,6.0,59454.0
Germany,Master's Degree,7.0,61616.0
Germany,Master's Degree,1.0,56211.0
Germany,Bachelor's Degree,6.0,61620.0
Germany,Bachelor's Degree,3.0,47352.0
Germany,Bachelor's Degree,2.0,44320.0
Germany,Master's Degree,10.0,49296.0
Germany,Bachelor's Degree,7.0,59454.0
Germany,Master's Degree,3.0,35028.0
Germany,Master's Degree,3.0,59454.0
Germany,Bachelor's Degree,0.5,14760.0
Germany,Less than Bachelor's Degree,1.0,59454.0
Germany,Less than Bachelor's Degree,3.0,32424.0
Germany,Bachelor's Degree,6.0,67452.0
Germany,Master's Degree,5.0,59454.0
Germany,Master's Degree,6.0,58368.0
Germany,Master's Degree,8.0,64859.0
Germany,Bachelor's Degree,6.0,72426.0
Germany,Less than Bachelor's Degree,6.0,67021.0
Germany,Master's Degree,5.0,59454.0
Germany,Bachelor's Degree,4.0,57292.0
