Country,EdLevel,YearsCodePro,Salary
India,Bachelor's Degree,1.0,1512.0
India,Bachelor's Degree,2.0,5585.0
India,Bachelor's Degree,4.0,21676.0
India,Less than Bachelor's Degree,10.0,16416.0
India,Bachelor's Degree,8.0,29320.0
India,Bachelor's Degree,0.5,6981.0
India,Less than Bachelor's Degree,10.0,123984.0
India,Bachelor's Degree,0.5,8376.0
India,Bachelor's Degree,7.0,134028.0
India,Bachelor's Degree,2.0,25128.0
India,Bachelor's Degree,7.0,31332.0
India,Master's Degree,3.0,40489.0
India,Bachelor's Degree,3.0,9773.0
India,Master's Degree,6.0,8040.0
India,Bachelor's Degree,10.0,29320.0
India,Bachelor's Degree,1.0,20943.0
India,Master's Degree,2.0,10728.0
India,Bachelor's Degree,5.0,16475.0
India,Master's Degree,7.0,18848.0
India,Bachelor's Degree,1.0,5585.0
India,Bachelor's Degree,7.0,21641.0
India,Bachelor's Degree,1.0,8042.0
India,Master's Degree,6.0,12564.0
India,Bachelor's Degree,2.0,11169.0
India,Bachelor's Degree,4.0,30716.0
India,Post Graduate Degree,10.0,13962.0
India,Master's Degree,6.0,64224.0
India,Bachelor's Degree,1.0,5585.0
India,Bachelor's Degree,5.0,7679.0
India,Bachelor's Degree,5.0,13962.0
India,Bachelor's Degree,6.0,20940.0
India,Bachelor's Degree,3.0,26527.0
India,Bachelor's Degree,2.0,5864.0
India,Bachelor's Degree,8.0,57240.0
India,Bachelor's Degree,10.0,30018.0
India,Bachelor's Degree,3.0,7200.0
India,Bachelor's Degree,2.0,3770.0
India,Bachelor's Degree,2.0,15682.0
India,Master's Degree,7.0,16080.0
India,Master's Degree,10.0,111694.0
India,Bachelor's Degree,1.0,5868.0
India,Bachelor's Degree,8.0,29320.0
India,Master's Degree,9.0,44678.0
India,Bachelor's Degree,6.0,34904.0
India,Bachelor's Degree,3.0,7679.0
India,Bachelor's Degree,1.0,6696.0
India,Bachelor's Degree,2.0,2508.0
India,Bachelor's Degree,9.0,25128.0
India,Bachelor's Degree,2.0,3686.0
India,Bachelor's Degree,0.5,9773.0
India,Bachelor's Degree,5.0,8517.0
India,Bachelor's Degree,1.0,25131.0
India,Master's Degree,10.0,25131.0
India,Bachelor's Degree,4.0,12230.0
India,Bachelor's Degree,8.0,36300.0
India,Bachelor's Degree,6.0,37000.0
India,Bachelor's Degree,4.0,33504.0
India,Bachelor's Degree,2.0,23735.0
India,Bachelor's Degree,2.0,18848.0
India,Bachelor's Degree,4.0,27923.0
India,Bachelor's Degree,10.0,62828.0
India,Bachelor's Degree,6.0,16754.0
India,Bachelor's Degree,5.0,10052.0
India,Less than Bachelor's Degree,8.0,27923.0
India,Bachelor's Degree,1.0,6981.0
India,Bachelor's Degree,4.0,6283.0
India,Bachelor's Degree,2.0,6696.0
India,Bachelor's Degree,0.5,3490.0
India,Bachelor's Degree,3.0,12564.0
India,Less than Bachelor's Degree,8.0,16754.0
India,Bachelor's Degree,4.0,8040.0
India,Master's Degree,8.0,5868.0
India,Bachelor's Degree,5.0,11169.0
India,Bachelor's Degree,3.0,10792.0
India,Bachelor's Degree,8.0,38129.0
India,Master's Degree,2.0,12566.0
India,Bachelor's Degree,2.0,8656.0
India,Bachelor's Degree,5.0,28622.0
India,Bachelor's Degree,3.0,25131.0
India,Bachelor's Degree,5.0,16752.0
India,Less than Bachelor's Degree,9.0,17033.0
India,Less than Bachelor's Degree,2.0,3348.0
India,Bachelor's Degree,7.0,11724.0
India,Master's Degree,3.0,7958.0
India,Bachelor's Degree,3.0,9075.0
India,Master's Degree,10.0,17452.0
India,Bachelor's Degree,0.5,25131.0
India,Bachelor's Degree,4.0,6981.0
India,Bachelor's Degree,3.0,8726.0
India,Master's Degree,7.0,15084.0
India,Bachelor's Degree,3.0,16754.0
India,Master's Degree,5.0,7679.0
India,Less than Bachelor's Degree,5.0,9216.0
India,Less than Bachelor's Degree,1.0,6841.0
India,Bachelor's Degree,1.0,11724.0
India,Master's Degree,6.0,25131.0
India,Bachelor's Degree,3.0,11169.0
India,Bachelor's Degree,3.0,9773.0
India,Bachelor's Degree,1.0,5616.0
India,Bachelor's Degree,6.0,26527.0
India,Master's Degree,8.0,34904.0
India,Master's Degree,0.5,2508.0
India,Bachelor's Degree,5.0,7051.0
India,Bachelor's Degree,7.0,13962.0
India,Bachelor's Degree,0.5,20943.0
India,Bachelor's Degree,2.0,7679.0
India,Less than Bachelor's Degree,0.5,1680.0
India,Bachelor's Degree,0.5,2016.0
India,Bachelor's Degree,3.0,5028.0
India,Bachelor's Degree,4.0,27923.0
India,Bachelor's Degree,4.0,5700.0
India,Bachelor's Degree,2.0,3684.0
India,Bachelor's Degree,2.0,5028.0
India,Bachelor's Degree,3.0,4188.0
India,Bachelor's Degree,4.0,13962.0
India,Bachelor's Degree,10.0,55847.0
India,Master's Degree,3.0,12901.0
India,Less than Bachelor's Degree,5.0,18150.0
India,Master's Degree,7.0,11724.0
India,Bachelor's Degree,4.0,11169.0
India,Master's Degree,2.0,1680.0
India,Bachelor's Degree,6.0,55847.0
India,Bachelor's Degree,3.0,13962.0
India,Bachelor's Degree,2.0,4656.0
India,Bachelor's Degree,4.0,32112.0
India,Bachelor's Degree,5.0,11588.0
India,Bachelor's Degree,7.0,28901.0
India,Master's Degree,4.0,27923.0
India,Bachelor's Degree,7.0,16754.0
India,Master's Degree,1.0,20244.0
India,Bachelor's Degree,6.0,9773.0
India,Master's Degree,3.0,8377.0
India,Bachelor's Degree,3.0,5194.0
India,Master's Degree,3.0,40489.0
India,Master's Degree,6.0,6372.0
India,Bachelor's Degree,3.0,192672.0
India,Bachelor's Degree,2.0,25131.0
India,Bachelor's Degree,5.0,41885.0
India,Bachelor's Degree,1.0,12418.0
India,Less than Bachelor's Degree,2.0,6757.0
India,Post Graduate Degree,1.0,4356.0
India,Bachelor's Degree,3.0,16754.0
India,Bachelor's Degree,2.0,29320.0
India,Bachelor's Degree,4.0,20100.0
India,Bachelor's Degree,7.0,10896.0
India,Master's Degree,7.0,25131.0
India,Less than Bachelor's Degree,2.0,1680.0
India,Bachelor's Degree,4.0,6036.0
India,Master's Degree,2.0,5646.0
India,Bachelor's Degree,2.0,8376.0
India,Less than Bachelor's Degree,2.0,4189.0
India,Less than Bachelor's Degree,9.0,2508.0
India,Master's Degree,3.0,6696.0
India,Bachelor's Degree,2.0,7679.0
India,Less than Bachelor's Degree,8.0,50268.0
India,Bachelor's Degree,0.5,16080.0
India,Bachelor's Degree,9.0,37697.0
India,Bachelor's Degree,4.0,167544.0
India,Bachelor's Degree,1.0,5236.0
India,Master's Degree,5.0,10471.0
India,Bachelor's Degree,3.0,13962.0
India,Bachelor's Degree,8.0,38532.0
India,Bachelor's Degree,1.0,7679.0
India,Master's Degree,0.5,1680.0
India,Bachelor's Degree,0.5,19128.0
India,Less than Bachelor's Degree,6.0,12000.0
India,Bachelor's Degree,5.0,44064.0
India,Bachelor's Degree,4.0,7200.0
India,Bachelor's Degree,6.0,20663.0
India,Bachelor's Degree,2.0,8376.0
India,Bachelor's Degree,5.0,41880.0
India,Master's Degree,3.0,32112.0
India,Bachelor's Degree,5.0,1885.0
India,Bachelor's Degree,2.0,10471.0
India,Bachelor's Degree,2.0,13962.0
India,Bachelor's Degree,8.0,13403.0
India,Bachelor's Degree,2.0,28622.0
India,Bachelor's Degree,2.0,6981.0
India,Master's Degree,0.5,22339.0
India,Bachelor's Degree,2.0,7679.0
India,Master's Degree,5.0,9773.0
India,Bachelor's Degree,2.0,5028.0
India,Bachelor's Degree,3.0,7284.0
India,Bachelor's Degree,2.0,8908.0
India,Bachelor's Degree,2.0,8377.0
India,Less than Bachelor's Degree,5.0,12566.0
India,Bachelor's Degree,2.0,5616.0
India,Bachelor's Degree,7.0,41885.0
India,Bachelor's Degree,6.0,18150.0
India,Bachelor's Degree,2.0,5532.0
India,Bachelor's Degree,5.0,64224.0
India,Bachelor's Degree,4.0,65620.0
India,Bachelor's Degree,2.0,7000.0
India,Bachelor's Degree,2.0,5028.0
India,Bachelor's Degree,2.0,13445.0
India,Bachelor's Degree,5.0,10056.0
India,Bachelor's Degree,0.5,36300.0
India,Bachelor's Degree,4.0,39093.0
India,Bachelor's Degree,1.0,3348.0
India,Bachelor's Degree,5.0,20943.0
India,Bachelor's Degree,7.0,13956.0
India,Bachelor's Degree,4.0,11724.0
India,Less than Bachelor's Degree,1.0,11724.0
India,Master's Degree,1.0,6981.0
India,Master's Degree,9.0,48866.0
India,Bachelor's Degree,3.0,8377.0
India,Bachelor's Degree,6.0,25128.0
India,Bachelor's Degree,9.0,80978.0
India,Bachelor's Degree,9.0,6981.0
India,Bachelor's Degree,0.5,16817.0
India,Bachelor's Degree,6.0,54451.0
