Country,EdLevel,YearsCodePro,Salary
Italy,Master's Degree,2.0,14268.0
Italy,Bachelor's Degree,3.0,35672.0
Italy,Less than Bachelor's Degree,8.0,47563.0
Italy,Master's Degree,3.0,35672.0
Italy,Post Graduate Degree,6.0,33095.0
Italy,Less than Bachelor's Degree,6.0,32429.0
Italy,Master's Degree,5.0,27240.0
Italy,Master's Degree,3.0,32429.0
Italy,Less than Bachelor's Degree,6.0,27025.0
Italy,Less than Bachelor's Degree,6.0,55130.0
Italy,Master's Degree,8.0,64859.0
Italy,Less than Bachelor's Degree,3.0,16860.0
Italy,Master's Degree,3.0,25944.0
Italy,Master's Degree,9.0,57292.0
Italy,Master's Degree,3.0,25944.0
Italy,Master's Degree,3.0,23782.0
Italy,Master's Degree,10.0,54049.0
Italy,Post Graduate Degree,10.0,45401.0
Italy,Less than Bachelor's Degree,2.0,18156.0
Italy,Post Graduate Degree,3.0,21408.0
Italy,Master's Degree,7.0,43239.0
Italy,Master's Degree,4.0,37834.0
Italy,Less than Bachelor's Degree,5.0,22056.0
Italy,Less than Bachelor's Degree,3.0,25944.0
Italy,Master's Degree,3.0,34591.0
Italy,Bachelor's Degree,7.0,32429.0
Italy,Less than Bachelor's Degree,5.0,32429.0
Italy,Bachelor's Degree,5.0,32424.0
Italy,Less than Bachelor's Degree,5.0,41077.0
Italy,Bachelor's Degree,10.0,43239.0
Italy,Master's Degree,8.0,24863.0
Italy,Less than Bachelor's Degree,4.0,37485.0
Italy,Less than Bachelor's Degree,6.0,21408.0
Italy,Post Graduate Degree,4.0,33732.0
Italy,Master's Degree,5.0,27025.0
Italy,Less than Bachelor's Degree,1.0,14268.0
Italy,Less than Bachelor's Degree,10.0,60535.0
Italy,Master's Degree,0.5,14916.0
Italy,Bachelor's Degree,10.0,41077.0
Italy,Bachelor's Degree,1.0,28800.0
Italy,Less than Bachelor's Degree,10.0,51887.0
Italy,Master's Degree,3.0,44320.0
Italy,Master's Degree,8.0,34591.0
Italy,Less than Bachelor's Degree,1.0,24322.0
Italy,Less than Bachelor's Degree,1.0,25944.0
Italy,Less than Bachelor's Degree,2.0,43239.0
Italy,Master's Degree,3.0,35028.0
Italy,Master's Degree,5.0,37834.0
Italy,Bachelor's Degree,5.0,34591.0
Italy,Master's Degree,4.0,34591.0
Italy,Less than Bachelor's Degree,3.0,22056.0
Italy,Master's Degree,7.0,28105.0
Italy,Bachelor's Degree,3.0,22701.0
Italy,Master's Degree,2.0,24863.0
Italy,Bachelor's Degree,9.0,31348.0
