Country,EdLevel,YearsCodePro,Salary
Netherlands,Master's Degree,2.0,25944.0
Netherlands,Less than Bachelor's Degree,10.0,108098.0
Netherlands,Bachelor's Degree,2.0,43239.0
Netherlands,Less than Bachelor's Degree,5.0,36324.0
Netherlands,Bachelor's Degree,6.0,50592.0
Netherlands,Less than Bachelor's Degree,4.0,35676.0
Netherlands,Bachelor's Degree,4.0,40212.0
Netherlands,Master's Degree,4.0,46482.0
Netherlands,Master's Degree,7.0,56211.0
Netherlands,Bachelor's Degree,6.0,50806.0
Netherlands,Master's Degree,9.0,57072.0
Netherlands,Bachelor's Degree,2.0,35676.0
Netherlands,Bachelor's Degree,4.0,38916.0
Netherlands,Master's Degree,3.0,51888.0
Netherlands,Bachelor's Degree,7.0,36972.0
Netherlands,Less than Bachelor's Degree,1.0,23352.0
Netherlands,Less than Bachelor's Degree,2.0,88640.0
Netherlands,Master's Degree,2.0,60535.0
Netherlands,Master's Degree,8.0,108098.0
Netherlands,Less than Bachelor's Degree,2.0,38778.0
Netherlands,Bachelor's Degree,9.0,82155.0
Netherlands,Bachelor's Degree,5.0,59454.0
Netherlands,Less than Bachelor's Degree,4.0,29832.0
Netherlands,Post Graduate Degree,4.0,37834.0
Netherlands,Less than Bachelor's Degree,3.0,40212.0
Netherlands,Master's Degree,3.0,38916.0
Netherlands,Master's Degree,3.0,77832.0
Netherlands,Master's Degree,1.0,56211.0
Netherlands,Master's Degree,2.0,59454.0
Netherlands,Master's Degree,5.0,38916.0
Netherlands,Bachelor's Degree,7.0,72426.0
Netherlands,Less than Bachelor's Degree,4.0,43239.0
Netherlands,Master's Degree,8.0,43239.0
Netherlands,Master's Degree,1.0,38916.0
Netherlands,Master's Degree,8.0,48000.0
Netherlands,Bachelor's Degree,5.0,40212.0
Netherlands,Master's Degree,10.0,70264.0
Netherlands,Master's Degree,10.0,81074.0
Netherlands,Less than Bachelor's Degree,10.0,42804.0
Netherlands,Less than Bachelor's Degree,7.0,45396.0
Netherlands,Less than Bachelor's Degree,7.0,129718.0
Netherlands,Master's Degree,2.0,46704.0
Netherlands,Master's Degree,3.0,48000.0
Netherlands,Master's Degree,3.0,49296.0
Netherlands,Bachelor's Degree,3.0,48648.0
Netherlands,Bachelor's Degree,3.0,81074.0
Netherlands,Master's Degree,2.0,97288.0
Netherlands,Post Graduate Degree,3.0,54049.0
Netherlands,Bachelor's Degree,10.0,64859.0
Netherlands,Master's Degree,4.0,75669.0
Netherlands,Bachelor's Degree,7.0,102693.0
Netherlands,Bachelor's Degree,7.0,50157.0
Netherlands,Bachelor's Degree,2.0,45396.0
Netherlands,Master's Degree,5.0,75452.0
Netherlands,Master's Degree,3.0,47563.0
Netherlands,Bachelor's Degree,3.0,41124.0
Netherlands,Bachelor's Degree,8.0,75669.0
Netherlands,Master's Degree,6.0,51347.0
Netherlands,Master's Degree,5.0,70264.0
Netherlands,Master's Degree,3.0,51888.0
Netherlands,Master's Degree,9.0,75669.0
Netherlands,Master's Degree,1.0,24324.0
Netherlands,Master's Degree,8.0,89721.0
Netherlands,Less than Bachelor's Degree,4.0,50218.0
Netherlands,Less than Bachelor's Degree,3.0,64859.0
Netherlands,Bachelor's Degree,5.0,75669.0
Netherlands,Bachelor's Degree,4.0,35028.0
Netherlands,Less than Bachelor's Degree,2.0,42804.0
Netherlands,Less than Bachelor's Degree,4.0,45396.0
Netherlands,Bachelor's Degree,6.0,48644.0
Netherlands,Master's Degree,10.0,71340.0
Netherlands,Master's Degree,10.0,62268.0
Netherlands,Post Graduate Degree,8.0,32424.0
Netherlands,Master's Degree,10.0,100000.0
Netherlands,Bachelor's Degree,1.0,31128.0
Netherlands,Master's Degree,10.0,90804.0
Netherlands,Master's Degree,3.0,49296.0
Netherlands,Bachelor's Degree,9.0,67847.0
Netherlands,Bachelor's Degree,5.0,36324.0
Netherlands,Less than Bachelor's Degree,8.0,27240.0
Netherlands,Master's Degree,7.0,50592.0
Netherlands,Bachelor's Degree,2.0,41508.0
Netherlands,Bachelor's Degree,8.0,59676.0
Netherlands,Bachelor's Degree,6.0,48644.0
Netherlands,Master's Degree,4.0,42288.0
Netherlands,Less than Bachelor's Degree,8.0,42804.0
Netherlands,Bachelor's Degree,4.0,58368.0
Netherlands,Bachelor's Degree,1.0,35672.0
Netherlands,Less than Bachelor's Degree,6.0,44100.0
Netherlands,Bachelor's Degree,7.0,58368.0
Netherlands,Master's Degree,10.0,54480.0
Netherlands,Bachelor's Degree,10.0,75669.0
Netherlands,Bachelor's Degree,2.0,31776.0
Netherlands,Less than Bachelor's Degree,5.0,64859.0
Netherlands,Master's Degree,5.0,54480.0
Netherlands,Less than Bachelor's Degree,10.0,75669.0
Netherlands,Bachelor's Degree,6.0,51888.0
Netherlands,Less than Bachelor's Degree,8.0,97288.0
Netherlands,Master's Degree,3.0,31128.0
Netherlands,Bachelor's Degree,9.0,58672.0
Netherlands,Bachelor's Degree,6.0,67021.0
Netherlands,Master's Degree,7.0,81074.0
Netherlands,Bachelor's Degree,10.0,48648.0
Netherlands,Bachelor's Degree,4.0,65940.0
Netherlands,Master's Degree,5.0,41508.0
Netherlands,Less than Bachelor's Degree,10.0,97288.0
Netherlands,Bachelor's Degree,5.0,58368.0
Netherlands,Bachelor's Degree,2.0,37620.0
Netherlands,Less than Bachelor's Degree,4.0,45396.0
Netherlands,Bachelor's Degree,7.0,71345.0
Netherlands,Bachelor's Degree,6.0,110034.0
Netherlands,Master's Degree,1.0,48000.0
Netherlands,Bachelor's Degree,4.0,47676.0
Netherlands,Post Graduate Degree,5.0,40032.0
Netherlands,Bachelor's Degree,5.0,79993.0
Netherlands,Bachelor's Degree,6.0,44748.0
Netherlands,Master's Degree,0.5,38916.0
Netherlands,Bachelor's Degree,9.0,81074.0
Netherlands,Less than Bachelor's Degree,8.0,41508.0
Netherlands,Master's Degree,9.0,75669.0
Netherlands,Less than Bachelor's Degree,8.0,71885.0
Netherlands,Less than Bachelor's Degree,4.0,40536.0
Netherlands,Less than Bachelor's Degree,4.0,42804.0
Netherlands,Master's Degree,4.0,91883.0
Netherlands,Bachelor's Degree,3.0,56211.0
Netherlands,Bachelor's Degree,1.0,24900.0
Netherlands,Bachelor's Degree,5.0,64859.0
Netherlands,Master's Degree,5.0,55130.0
Netherlands,Bachelor's Degree,1.0,36972.0
Netherlands,Less than Bachelor's Degree,7.0,38916.0
Netherlands,Master's Degree,3.0,38916.0
Netherlands,Bachelor's Degree,6.0,67021.0
Netherlands,Bachelor's Degree,8.0,70264.0
Netherlands,Bachelor's Degree,6.0,42804.0
Netherlands,Less than Bachelor's Degree,10.0,58368.0
Netherlands,Bachelor's Degree,2.0,35028.0
Netherlands,Master's Degree,8.0,70264.0
Netherlands,Bachelor's Degree,5.0,48648.0
Netherlands,Master's Degree,8.0,33732.0
Netherlands,Bachelor's Degree,2.0,33510.0
Netherlands,Bachelor's Degree,0.5,37824.0
Netherlands,Master's Degree,8.0,44628.0
Netherlands,Master's Degree,10.0,102693.0
Netherlands,Bachelor's Degree,3.0,51888.0
Netherlands,Master's Degree,6.0,57072.0
Netherlands,Bachelor's Degree,2.0,51888.0
Netherlands,Bachelor's Degree,6.0,39936.0
Netherlands,Bachelor's Degree,5.0,58139.0
Netherlands,Bachelor's Degree,2.0,38916.0
Netherlands,Less than Bachelor's Degree,10.0,45396.0
Netherlands,Bachelor's Degree,5.0,59454.0
Netherlands,Bachelor's Degree,2.0,21408.0
Netherlands,Bachelor's Degree,5.0,70264.0
Netherlands,Less than Bachelor's Degree,3.0,31128.0
Netherlands,Less than Bachelor's Degree,9.0,66156.0
Netherlands,Master's Degree,3.0,55776.0
Netherlands,Master's Degree,5.0,49725.0
Netherlands,Bachelor's Degree,7.0,55670.0
Netherlands,Bachelor's Degree,10.0,118908.0
Netherlands,Bachelor's Degree,3.0,45396.0
Netherlands,Master's Degree,6.0,62268.0
Netherlands,Bachelor's Degree,8.0,46704.0
Netherlands,Bachelor's Degree,2.0,36972.0
Netherlands,Less than Bachelor's Degree,1.0,36324.0
Netherlands,Less than Bachelor's Degree,5.0,49799.0
Netherlands,Bachelor's Degree,10.0,53184.0
Netherlands,Less than Bachelor's Degree,10.0,43289.0
Netherlands,Less than Bachelor's Degree,3.0,36972.0
Netherlands,Bachelor's Degree,10.0,51888.0
Netherlands,Master's Degree,5.0,48000.0
Netherlands,Bachelor's Degree,1.0,40680.0
Netherlands,Master's Degree,5.0,70264.0
Netherlands,Master's Degree,6.0,90802.0
Netherlands,Bachelor's Degree,2.0,36753.0
Netherlands,Bachelor's Degree,3.0,34591.0
Netherlands,Master's Degree,5.0,59454.0
Netherlands,Bachelor's Degree,4.0,32424.0
Netherlands,Less than Bachelor's Degree,10.0,33732.0
Netherlands,Master's Degree,3.0,27240.0
Netherlands,Bachelor's Degree,4.0,51888.0
Netherlands,Master's Degree,5.0,84312.0
Netherlands,Less than Bachelor's Degree,9.0,32429.0
Netherlands,Bachelor's Degree,6.0,57724.0
Netherlands,Bachelor's Degree,0.5,36324.0
Netherlands,Master's Degree,5.0,63564.0
Netherlands,Bachelor's Degree,8.0,43239.0
Netherlands,Bachelor's Degree,9.0,64859.0
Netherlands,Master's Degree,9.0,78912.0
Netherlands,Bachelor's Degree,2.0,40860.0
Netherlands,Bachelor's Degree,7.0,41508.0
Netherlands,Less than Bachelor's Degree,6.0,64859.0
Netherlands,Bachelor's Degree,7.0,48644.0
Netherlands,Bachelor's Degree,6.0,70044.0
