Country,EdLevel,YearsCodePro,Salary
Poland,Bachelor's Degree,8.0,45564.0
Poland,Bachelor's Degree,4.0,27336.0
Poland,Bachelor's Degree,3.0,16704.0
Poland,Bachelor's Degree,5.0,45564.0
Poland,Master's Degree,6.0,60744.0
Poland,Less than Bachelor's Degree,3.0,41004.0
Poland,Master's Degree,2.0,27844.0
Poland,Master's Degree,1.0,9720.0
Poland,Bachelor's Degree,4.0,55200.0
Poland,Master's Degree,5.0,66828.0
Poland,Less than Bachelor's Degree,9.0,28860.0
Poland,Master's Degree,7.0,15192.0
Poland,Master's Degree,6.0,45564.0
Poland,Less than Bachelor's Degree,3.0,24300.0
Poland,Less than Bachelor's Degree,7.0,36450.0
Poland,Master's Degree,4.0,47076.0
Poland,Less than Bachelor's Degree,4.0,25824.0
Poland,Master's Degree,8.0,45564.0
Poland,Master's Degree,3.0,25824.0
Poland,Master's Degree,3.0,30372.0
Poland,Master's Degree,10.0,36444.0
Poland,Master's Degree,1.0,13668.0
Poland,Less than Bachelor's Degree,2.0,15192.0
Poland,Bachelor's Degree,3.0,42528.0
Poland,Bachelor's Degree,5.0,121500.0
Poland,Less than Bachelor's Degree,2.0,27336.0
Poland,Master's Degree,9.0,45564.0
Poland,Post Graduate Degree,10.0,13968.0
Poland,Bachelor's Degree,5.0,85000.0
Poland,Master's Degree,6.0,100000.0
Poland,Bachelor's Degree,3.0,34020.0
Poland,Less than Bachelor's Degree,0.5,12756.0
Poland,Master's Degree,10.0,45564.0
Poland,Master's Degree,6.0,47988.0
Poland,Bachelor's Degree,7.0,30372.0
Poland,Master's Degree,6.0,45564.0
Poland,Master's Degree,3.0,19740.0
Poland,Less than Bachelor's Degree,5.0,30372.0
Poland,Bachelor's Degree,1.0,12144.0
Poland,Bachelor's Degree,4.0,43440.0
Poland,Less than Bachelor's Degree,5.0,30372.0
Poland,Bachelor's Degree,2.0,30372.0
Poland,Master's Degree,3.0,24300.0
Poland,Less than Bachelor's Degree,10.0,21264.0
Poland,Bachelor's Degree,1.0,20052.0
Poland,Master's Degree,9.0,72900.0
Poland,Post Graduate Degree,1.0,36444.0
Poland,Master's Degree,2.0,28860.0
Poland,Master's Degree,5.0,48600.0
Poland,Less than Bachelor's Degree,6.0,60744.0
Poland,Master's Degree,2.0,15192.0
Poland,Master's Degree,4.0,48600.0
Poland,Master's Degree,6.0,22776.0
Poland,Less than Bachelor's Degree,2.0,34932.0
Poland,Bachelor's Degree,5.0,36444.0
Poland,Bachelor's Degree,5.0,36444.0
Poland,Master's Degree,4.0,63792.0
Poland,Master's Degree,5.0,18228.0
Poland,Master's Degree,5.0,26724.0
Poland,Master's Degree,2.0,26724.0
Poland,Master's Degree,4.0,42528.0
Poland,Bachelor's Degree,7.0,43031.0
Poland,Master's Degree,1.0,24300.0
Poland,Less than Bachelor's Degree,9.0,30372.0
Poland,Master's Degree,2.0,28860.0
Poland,Master's Degree,10.0,56196.0
Poland,Master's Degree,10.0,48600.0
Poland,Less than Bachelor's Degree,5.0,33408.0
Poland,Master's Degree,9.0,54672.0
Poland,Master's Degree,5.0,41004.0
Poland,Bachelor's Degree,9.0,51024.0
Poland,Bachelor's Degree,7.0,28860.0
Poland,Bachelor's Degree,0.5,16200.0
Poland,Bachelor's Degree,5.0,45564.0
Poland,Master's Degree,7.0,31140.0
Poland,Bachelor's Degree,5.0,45564.0
Poland,Bachelor's Degree,7.0,34932.0
Poland,Less than Bachelor's Degree,2.0,19440.0
Poland,Bachelor's Degree,4.0,45562.0
Poland,Bachelor's Degree,2.0,18228.0
Poland,Less than Bachelor's Degree,0.5,16104.0
Poland,Bachelor's Degree,3.0,16704.0
Poland,Master's Degree,1.0,24300.0
Poland,Bachelor's Degree,7.0,37968.0
Poland,Less than Bachelor's Degree,2.0,21264.0
Poland,Less than Bachelor's Degree,3.0,27948.0
Poland,Bachelor's Degree,4.0,41004.0
Poland,Bachelor's Degree,5.0,43537.0
Poland,Master's Degree,3.0,10932.0
Poland,Less than Bachelor's Degree,4.0,19740.0
Poland,Bachelor's Degree,1.0,10020.0
Poland,Master's Degree,10.0,36444.0
Poland,Bachelor's Degree,4.0,16704.0
Poland,Bachelor's Degree,8.0,86062.0
Poland,Master's Degree,6.0,44550.0
Poland,Bachelor's Degree,6.0,39492.0
Poland,Master's Degree,4.0,45564.0
Poland,Master's Degree,6.0,150000.0
Poland,Less than Bachelor's Degree,2.0,21264.0
Poland,Bachelor's Degree,5.0,42528.0
Poland,Less than Bachelor's Degree,2.0,15192.0
Poland,Post Graduate Degree,2.0,33408.0
Poland,Master's Degree,4.0,9108.0
Poland,Post Graduate Degree,6.0,36444.0
Poland,Bachelor's Degree,1.0,15792.0
Poland,Less than Bachelor's Degree,6.0,33408.0
Poland,Less than Bachelor's Degree,0.5,18228.0
Poland,Less than Bachelor's Degree,5.0,21264.0
Poland,Master's Degree,3.0,72900.0
Poland,Bachelor's Degree,6.0,36444.0
Poland,Less than Bachelor's Degree,3.0,10632.0
Poland,Master's Degree,5.0,40500.0
Poland,Bachelor's Degree,4.0,27336.0
Poland,Bachelor's Degree,10.0,25824.0
Poland,Bachelor's Degree,3.0,25512.0
Poland,Post Graduate Degree,0.5,21264.0
Poland,Master's Degree,10.0,48600.0
Poland,Master's Degree,6.0,40500.0
Poland,Bachelor's Degree,3.0,23688.0
Poland,Bachelor's Degree,3.0,36444.0
Poland,Bachelor's Degree,10.0,75936.0
Poland,Bachelor's Degree,1.0,21864.0
Poland,Less than Bachelor's Degree,8.0,39492.0
Poland,Less than Bachelor's Degree,1.0,14580.0
Poland,Bachelor's Degree,2.0,22776.0
