Country,EdLevel,YearsCodePro,Salary
Spain,Bachelor's Degree,5.0,46482.0
Spain,Master's Degree,10.0,58373.0
Spain,Less than Bachelor's Degree,8.0,38915.0
Spain,Post Graduate Degree,5.0,32429.0
Spain,Master's Degree,10.0,12972.0
Spain,Bachelor's Degree,4.0,28105.0
Spain,Bachelor's Degree,4.0,34591.0
Spain,Less than Bachelor's Degree,2.0,20539.0
Spain,Less than Bachelor's Degree,8.0,16215.0
Spain,Less than Bachelor's Degree,0.5,18160.0
Spain,Less than Bachelor's Degree,4.0,32429.0
Spain,Less than Bachelor's Degree,9.0,81074.0
Spain,Bachelor's Degree,7.0,32429.0
Spain,Bachelor's Degree,3.0,30267.0
Spain,Master's Degree,7.0,37834.0
Spain,Bachelor's Degree,6.0,28536.0
Spain,Master's Degree,4.0,25944.0
Spain,Bachelor's Degree,9.0,61616.0
Spain,Post Graduate Degree,7.0,28105.0
Spain,Master's Degree,2.0,25944.0
Spain,Less than Bachelor's Degree,5.0,19452.0
Spain,Bachelor's Degree,5.0,68100.0
Spain,Master's Degree,5.0,15564.0
Spain,Master's Degree,6.0,43239.0
Spain,Master's Degree,8.0,36753.0
Spain,Less than Bachelor's Degree,1.0,16860.0
Spain,Bachelor's Degree,2.0,39456.0
Spain,Bachelor's Degree,8.0,31348.0
Spain,Master's Degree,3.0,21187.0
Spain,Less than Bachelor's Degree,7.0,25944.0
Spain,Master's Degree,3.0,21620.0
Spain,Master's Degree,5.0,27240.0
Spain,Bachelor's Degree,3.0,22701.0
Spain,Master's Degree,9.0,75669.0
Spain,Master's Degree,5.0,47563.0
Spain,Less than Bachelor's Degree,2.0,51887.0
Spain,Bachelor's Degree,2.0,12972.0
Spain,Master's Degree,10.0,42158.0
Spain,Less than Bachelor's Degree,5.0,34591.0
Spain,Bachelor's Degree,2.0,17508.0
Spain,Bachelor's Degree,5.0,43239.0
Spain,Bachelor's Degree,10.0,64859.0
Spain,Bachelor's Degree,4.0,121070.0
Spain,Less than Bachelor's Degree,4.0,24648.0
Spain,Master's Degree,2.0,23782.0
Spain,Bachelor's Degree,10.0,75669.0
Spain,Master's Degree,8.0,43996.0
Spain,Bachelor's Degree,2.0,29832.0
Spain,Master's Degree,8.0,59454.0
Spain,Post Graduate Degree,2.0,43239.0
Spain,Master's Degree,5.0,32429.0
Spain,Less than Bachelor's Degree,5.0,68102.0
Spain,Bachelor's Degree,1.0,32429.0
Spain,Less than Bachelor's Degree,4.0,47563.0
Spain,Master's Degree,4.0,27025.0
Spain,Master's Degree,7.0,47563.0
Spain,Bachelor's Degree,7.0,59454.0
Spain,Bachelor's Degree,0.5,29186.0
Spain,Bachelor's Degree,5.0,45401.0
Spain,Bachelor's Degree,4.0,32429.0
Spain,Less than Bachelor's Degree,6.0,52968.0
Spain,Bachelor's Degree,5.0,30267.0
Spain,Post Graduate Degree,4.0,36753.0
Spain,Bachelor's Degree,6.0,41077.0
Spain,Less than Bachelor's Degree,5.0,47563.0
Spain,Less than Bachelor's Degree,2.0,39996.0
Spain,Master's Degree,5.0,40731.0
Spain,Master's Degree,8.0,19452.0
Spain,Master's Degree,4.0,51887.0
Spain,Master's Degree,2.0,30267.0
Spain,Less than Bachelor's Degree,5.0,45401.0
Spain,Bachelor's Degree,3.0,32429.0
Spain,Bachelor's Degree,10.0,70264.0
Spain,Bachelor's Degree,3.0,36753.0
Spain,Less than Bachelor's Degree,10.0,32429.0
Spain,Post Graduate Degree,4.0,38915.0
Spain,Bachelor's Degree,3.0,37834.0
Spain,Master's Degree,5.0,37834.0
Spain,Bachelor's Degree,6.0,18377.0
Spain,Less than Bachelor's Degree,3.0,27025.0
Spain,Master's Degree,8.0,97288.0
Spain,Master's Degree,2.0,25944.0
Spain,Post Graduate Degree,2.0,21079.0
Spain,Less than Bachelor's Degree,4.0,48644.0
Spain,Less than Bachelor's Degree,6.0,35672.0
Spain,Bachelor's Degree,4.0,27025.0
Spain,Bachelor's Degree,6.0,43239.0
Spain,Bachelor's Degree,6.0,59670.0
Spain,Master's Degree,9.0,57292.0
Spain,Bachelor's Degree,9.0,45401.0
Spain,Bachelor's Degree,1.0,17296.0
Spain,Bachelor's Degree,4.0,30267.0
Spain,Master's Degree,7.0,38915.0
Spain,Post Graduate Degree,1.0,13620.0
Spain,Less than Bachelor's Degree,5.0,70572.0
Spain,Master's Degree,7.0,37456.0
Spain,Master's Degree,4.0,26030.0
Spain,Post Graduate Degree,2.0,25944.0
Spain,Less than Bachelor's Degree,6.0,17508.0
Spain,Less than Bachelor's Degree,5.0,30267.0
Spain,Master's Degree,7.0,43239.0
Spain,Master's Degree,5.0,43239.0
Spain,Post Graduate Degree,1.0,19458.0
Spain,Post Graduate Degree,8.0,48644.0
Spain,Master's Degree,4.0,37834.0
Spain,Less than Bachelor's Degree,2.0,19668.0
Spain,Bachelor's Degree,6.0,33510.0
Spain,Less than Bachelor's Degree,0.5,58373.0
Spain,Post Graduate Degree,3.0,22701.0
Spain,Master's Degree,2.0,13620.0
Spain,Master's Degree,3.0,34591.0
Spain,Master's Degree,4.0,22428.0
Spain,Less than Bachelor's Degree,2.0,22701.0
Spain,Less than Bachelor's Degree,8.0,42591.0
Spain,Bachelor's Degree,3.0,31348.0
Spain,Master's Degree,8.0,38915.0
Spain,Master's Degree,0.5,37834.0
Spain,Master's Degree,3.0,26484.0
Spain,Post Graduate Degree,5.0,23782.0
Spain,Master's Degree,5.0,19452.0
Spain,Bachelor's Degree,4.0,43239.0
Spain,Master's Degree,3.0,34591.0
Spain,Post Graduate Degree,0.5,18156.0
Spain,Master's Degree,7.0,36324.0
Spain,Less than Bachelor's Degree,3.0,16215.0
Spain,Bachelor's Degree,6.0,23352.0
Spain,Post Graduate Degree,2.0,32429.0
Spain,Bachelor's Degree,10.0,48644.0
Spain,Bachelor's Degree,3.0,33510.0
Spain,Master's Degree,8.0,49725.0
Spain,Bachelor's Degree,0.5,17296.0
Spain,Less than Bachelor's Degree,6.0,37834.0
Spain,Master's Degree,5.0,34591.0
