Country,EdLevel,YearsCodePro,Salary
Sweden,Master's Degree,4.0,51552.0
Sweden,Bachelor's Degree,3.0,40500.0
Sweden,Master's Degree,7.0,5216.0
Sweden,Post Graduate Degree,3.0,55224.0
Sweden,Bachelor's Degree,5.0,54769.0
Sweden,Bachelor's Degree,3.0,40500.0
Sweden,Master's Degree,6.0,53388.0
Sweden,Master's Degree,0.5,42960.0
Sweden,Less than Bachelor's Degree,7.0,55224.0
Sweden,Bachelor's Degree,5.0,64440.0
Sweden,Bachelor's Degree,5.0,55224.0
Sweden,Master's Degree,2.0,46020.0
Sweden,Less than Bachelor's Degree,2.0,44184.0
Sweden,Bachelor's Degree,3.0,79776.0
Sweden,Bachelor's Degree,1.0,39024.0
Sweden,Master's Degree,1.0,44184.0
Sweden,Master's Degree,1.0,46632.0
Sweden,Bachelor's Degree,7.0,46024.0
Sweden,Master's Degree,7.0,67500.0
Sweden,Post Graduate Degree,2.0,46020.0
Sweden,Less than Bachelor's Degree,4.0,44796.0
Sweden,Bachelor's Degree,3.0,51552.0
Sweden,Bachelor's Degree,3.0,67500.0
Sweden,Master's Degree,5.0,53184.0
Sweden,Master's Degree,4.0,72408.0
Sweden,Master's Degree,2.0,36816.0
Sweden,Bachelor's Degree,3.0,51552.0
Sweden,Less than Bachelor's Degree,5.0,61368.0
Sweden,Master's Degree,10.0,92052.0
Sweden,Less than Bachelor's Degree,6.0,46020.0
Sweden,Less than Bachelor's Degree,3.0,43200.0
Sweden,Less than Bachelor's Degree,3.0,50316.0
Sweden,Bachelor's Degree,4.0,42960.0
Sweden,Bachelor's Degree,6.0,61366.0
Sweden,Master's Degree,6.0,93071.0
Sweden,Master's Degree,3.0,49092.0
Sweden,Less than Bachelor's Degree,10.0,52776.0
Sweden,Less than Bachelor's Degree,3.0,47868.0
Sweden,Less than Bachelor's Degree,8.0,71184.0
Sweden,Bachelor's Degree,10.0,87144.0
Sweden,Bachelor's Degree,6.0,52776.0
Sweden,Less than Bachelor's Degree,4.0,44796.0
Sweden,Master's Degree,6.0,66276.0
Sweden,Master's Degree,3.0,42960.0
Sweden,Master's Degree,2.0,61368.0
Sweden,Master's Degree,0.5,57684.0
Sweden,Master's Degree,3.0,56460.0
Sweden,Less than Bachelor's Degree,8.0,45408.0
Sweden,Bachelor's Degree,2.0,40500.0
Sweden,Less than Bachelor's Degree,3.0,55224.0
Sweden,Bachelor's Degree,6.0,61368.0
Sweden,Less than Bachelor's Degree,6.0,48479.0
Sweden,Less than Bachelor's Degree,1.0,31908.0
Sweden,Less than Bachelor's Degree,6.0,42960.0
Sweden,Master's Degree,3.0,36816.0
Sweden,Master's Degree,5.0,61368.0
Sweden,Less than Bachelor's Degree,3.0,47868.0
Sweden,Bachelor's Degree,4.0,54612.0
Sweden,Less than Bachelor's Degree,8.0,53388.0
Sweden,Bachelor's Degree,6.0,41724.0
Sweden,Master's Degree,5.0,79776.0
Sweden,Bachelor's Degree,3.0,50316.0
Sweden,Bachelor's Degree,4.0,45408.0
Sweden,Less than Bachelor's Degree,7.0,61368.0
Sweden,Master's Degree,4.0,38292.0
Sweden,Less than Bachelor's Degree,10.0,49212.0
Sweden,Master's Degree,5.0,69960.0
Sweden,Master's Degree,0.5,41724.0
Sweden,Less than Bachelor's Degree,8.0,125184.0
Sweden,Less than Bachelor's Degree,10.0,81624.0
Sweden,Less than Bachelor's Degree,8.0,42960.0
Sweden,Master's Degree,10.0,67500.0
Sweden,Bachelor's Degree,0.5,49092.0
Sweden,Master's Degree,7.0,122736.0
Sweden,Master's Degree,8.0,49092.0
Sweden,Less than Bachelor's Degree,2.0,42960.0
Sweden,Bachelor's Degree,8.0,52776.0
Sweden,Master's Degree,10.0,73644.0
Sweden,Less than Bachelor's Degree,2.0,49092.0
Sweden,Less than Bachelor's Degree,4.0,51552.0
Sweden,Bachelor's Degree,6.0,60756.0
Sweden,Post Graduate Degree,10.0,78552.0
Sweden,Less than Bachelor's Degree,8.0,56208.0
Sweden,Bachelor's Degree,1.0,39276.0
Sweden,Bachelor's Degree,3.0,42960.0
Sweden,Less than Bachelor's Degree,6.0,50316.0
Sweden,Less than Bachelor's Degree,0.5,35592.0
Sweden,Less than Bachelor's Degree,8.0,33132.0
Sweden,Bachelor's Degree,0.5,33756.0
Sweden,Master's Degree,7.0,85908.0
Sweden,Bachelor's Degree,3.0,49092.0
Sweden,Less than Bachelor's Degree,1.0,34368.0
Sweden,Bachelor's Degree,9.0,72408.0
Sweden,Bachelor's Degree,7.0,55104.0
Sweden,Post Graduate Degree,10.0,61980.0
Sweden,Less than Bachelor's Degree,6.0,55224.0
Sweden,Post Graduate Degree,7.0,51888.0
Sweden,Master's Degree,3.0,67500.0
Sweden,Less than Bachelor's Degree,8.0,55224.0
Sweden,Bachelor's Degree,0.5,34368.0
Sweden,Bachelor's Degree,10.0,66276.0
Sweden,Master's Degree,4.0,58908.0
Sweden,Less than Bachelor's Degree,4.0,42960.0
Sweden,Less than Bachelor's Degree,1.0,16200.0
Sweden,Master's Degree,2.0,44184.0
Sweden,Less than Bachelor's Degree,5.0,57684.0
Sweden,Master's Degree,3.0,60144.0
Sweden,Bachelor's Degree,2.0,42960.0
Sweden,Bachelor's Degree,5.0,42960.0
Sweden,Bachelor's Degree,2.0,61368.0
Sweden,Master's Degree,3.0,55224.0
Sweden,Bachelor's Degree,10.0,49092.0
Sweden,Less than Bachelor's Degree,5.0,45408.0
Sweden,Less than Bachelor's Degree,6.0,44184.0
Sweden,Bachelor's Degree,3.0,40910.0
Sweden,Less than Bachelor's Degree,6.0,42960.0
Sweden,Bachelor's Degree,10.0,42960.0
Sweden,Bachelor's Degree,10.0,55224.0
Sweden,Less than Bachelor's Degree,4.0,54000.0
Sweden,Bachelor's Degree,0.5,42960.0
Sweden,Bachelor's Degree,6.0,55224.0
Sweden,Less than Bachelor's Degree,1.0,32496.0
Sweden,Master's Degree,5.0,49093.0
Sweden,Bachelor's Degree,0.5,30684.0
Sweden,Master's Degree,9.0,76092.0
Sweden,Bachelor's Degree,3.0,34980.0
Sweden,Bachelor's Degree,2.0,59847.0
Sweden,Less than Bachelor's Degree,10.0,57684.0
Sweden,Bachelor's Degree,10.0,104322.0
Sweden,Post Graduate Degree,1.0,45408.0
Sweden,Master's Degree,2.0,35412.0
