Country,EdLevel,YearsCodePro,Salary
United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,3.0,64630.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,3.0,38778.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,7.0,103408.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,3.0,50153.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's Degree,2.0,19389.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's Degree,6.0,48472.0
United Kingdom of Great Britain and Northern Ireland,Post Graduate Degree,4.0,51704.0
United Kingdom of Great Britain and Northern Ireland,Master's Degree,7.0,64630.0
United Kingdom of Great Britain and Northern Ireland,Master's Degree,6.0,54224.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,5.0,71093.0
United Kingdom of Great Britain and Northern Ireland,Post Graduate Degree,10.0,49765.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,10.0,63854.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's Degree,2.0,28437.0
United Kingdom of Great Britain and Northern Ireland,Master's Degree,3.0,48472.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's Degree,0.5,19389.0
United Kingdom of Great Britain and Northern Ireland,Master's Degree,4.0,49119.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's Degree,6.0,51704.0
United Kingdom of Great Britain and Northern Ireland,Post Graduate Degree,1.0,71093.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,8.0,50411.0
United Kingdom of Great Britain and Northern Ireland,Master's Degree,2.0,74970.0
United Kingdom of Great Britain and Northern Ireland,Master's Degree,3.0,84019.0
United Kingdom of Great Britain and Northern Ireland,Master's Degree,4.0,51704.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's Degree,5.0,71093.0
United Kingdom of Great Britain and Northern Ireland,Master's Degree,6.0,46533.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's Degree,3.0,33600.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,9.0,87896.0
United Kingdom of Great Britain and Northern Ireland,Master's Degree,6.0,129259.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's Degree,4.0,20682.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's Degree,2.0,36193.0
United Kingdom of Great Britain and Northern Ireland,Master's Degree,10.0,64630.0
United Kingdom of Great Britain and Northern Ireland,Master's Degree,4.0,118919.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's Degree,6.0,47826.0
United Kingdom of Great Britain and Northern Ireland,Master's Degree,0.5,38778.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's Degree,7.0,55582.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's Degree,2.0,31020.0
