Country,EdLevel,YearsCodePro,Salary
United States of America,Bachelor's Degree,0.5,103000.0
United States of America,Bachelor's Degree,5.0,130000.0
United States of America,Post Graduate Degree,1.0,100000.0
United States of America,Bachelor's Degree,6.0,140000.0
United States of America,Bachelor's Degree,1.0,54000.0
United States of America,Bachelor's Degree,4.0,98500.0
United States of America,Master's Degree,9.0,70000.0
United States of America,Less than Bachelor's Degree,5.0,90000.0
United States of America,Master's Degree,2.0,193000.0
United States of America,Bachelor's Degree,2.0,60000.0
United States of America,Bachelor's Degree,9.0,107972.0
United States of America,Master's Degree,10.0,110000.0
United States of America,Less than Bachelor's Degree,4.0,58000.0
United States of America,Bachelor's Degree,4.0,74000.0
United States of America,Less than Bachelor's Degree,1.0,40000.0
United States of America,Less than Bachelor's Degree,7.0,63385.0
United States of America,Post Graduate Degree,6.0,90000.0
United States of America,Bachelor's Degree,3.0,67000.0
United States of America,Less than Bachelor's Degree,6.0,170000.0
United States of America,Bachelor's Degree,4.0,70000.0
United States of America,Less than Bachelor's Degree,2.0,40000.0
United States of America,Bachelor's Degree,4.0,85000.0
United States of America,Master's Degree,2.0,100000.0
United States of America,Bachelor's Degree,3.0,92000.0
United States of America,Bachelor's Degree,4.0,150000.0
United States of America,Bachelor's Degree,8.0,57765.0
United States of America,Bachelor's Degree,3.0,40000.0
United States of America,Less than Bachelor's Degree,2.0,37440.0
United States of America,Master's Degree,4.0,133000.0
United States of America,Master's Degree,5.0,150000.0
United States of America,Bachelor's Degree,3.0,73500.0
United States of America,Bachelor's Degree,1.0,82000.0
United States of America,Post Graduate Degree,10.0,105000.0
United States of America,Bachelor's Degree,9.0,135000.0
United States of America,Bachelor's Degree,8.0,200000.0
United States of America,Master's Degree,10.0,58000.0
United States of America,Bachelor's Degree,2.0,70000.0
United States of America,Less than Bachelor's Degree,4.0,55702.0
United States of America,Bachelor's Degree,4.0,72000.0
United States of America,Master's Degree,7.0,125000.0
United States of America,Less than Bachelor's Degree,4.0,105000.0
United States of America,Bachelor's Degree,8.0,66500.0
United States of America,Bachelor's Degree,7.0,125000.0
United States of America,Bachelor's Degree,3.0,64000.0
United States of America,Post Graduate Degree,7.0,135000.0
United States of America,Bachelor's Degree,3.0,85000.0
United States of America,Bachelor's Degree,5.0,115000.0
United States of America,Bachelor's Degree,10.0,200000.0
United States of America,Bachelor's Degree,10.0,142000.0
United States of America,Less than Bachelor's Degree,8.0,125000.0
United States of America,Bachelor's Degree,9.0,190000.0
United States of America,Less than Bachelor's Degree,4.0,75000.0
United States of America,Less than Bachelor's Degree,10.0,200000.0
United States of America,Bachelor's Degree,5.0,100000.0
United States of America,Bachelor's Degree,5.0,80325.0
United States of America,Bachelor's Degree,3.0,82750.0
United States of America,Bachelor's Degree,8.0,110000.0
United States of America,Master's Degree,5.0,200000.0
United States of America,Less than Bachelor's Degree,4.0,144000.0
United States of America,Bachelor's Degree,3.0,75636.0
United States of America,Bachelor's Degree,1.0,100000.0
United States of America,Bachelor's Degree,6.0,80000.0
United States of America,Master's Degree,4.0,166000.0
United States of America,Bachelor's Degree,1.0,65000.0
United States of America,Master's Degree,7.0,160000.0
United States of America,Less than Bachelor's Degree,8.0,200000.0
United States of America,Bachelor's Degree,7.0,83200.0
United States of America,Bachelor's Degree,4.0,81000.0
United States of America,Master's Degree,8.0,106000.0
United States of America,Bachelor's Degree,7.0,125000.0
United States of America,Post Graduate Degree,3.0,93000.0
United States of America,Bachelor's Degree,5.0,77250.0
United States of America,Less than Bachelor's Degree,10.0,129600.0
United States of America,Bachelor's Degree,6.0,104000.0
United States of America,Bachelor's Degree,5.0,65000.0
United States of America,Bachelor's Degree,2.0,68000.0
United States of America,Bachelor's Degree,2.0,60000.0
United States of America,Bachelor's Degree,7.0,66000.0
United States of America,Bachelor's Degree,1.0,90000.0
United States of America,Bachelor's Degree,1.0,65000.0
United States of America,Less than Bachelor's Degree,3.0,70000.0
United States of America,Master's Degree,8.0,150000.0
United States of America,Less than Bachelor's Degree,10.0,155000.0
United States of America,Master's Degree,5.0,140000.0
United States of America,Bachelor's Degree,5.0,120000.0
United States of America,Less than Bachelor's Degree,9.0,150000.0
United States of America,Bachelor's Degree,1.0,70000.0
United States of America,Bachelor's Degree,10.0,130000.0
United States of America,Post Graduate Degree,2.0,123000.0
United States of America,Master's Degree,7.0,110000.0
United States of America,Bachelor's Degree,5.0,76000.0
United States of America,Bachelor's Degree,4.0,76000.0
United States of America,Bachelor's Degree,6.0,60000.0
United States of America,Bachelor's Degree,8.0,150000.0
United States of America,Master's Degree,5.0,103000.0
United States of America,Master's Degree,6.0,95000.0
United States of America,Bachelor's Degree,2.0,86000.0
United States of America,Bachelor's Degree,4.0,132000.0
United States of America,Bachelor's Degree,2.0,179000.0
United States of America,Master's Degree,4.0,130000.0
United States of America,Bachelor's Degree,2.0,70000.0
United States of America,Master's Degree,8.0,72000.0
United States of America,Bachelor's Degree,9.0,70000.0
United States of America,Bachelor's Degree,4.0,140000.0
United States of America,Bachelor's Degree,1.0,61500.0
United States of America,Bachelor's Degree,5.0,150000.0
United States of America,Post Graduate Degree,2.0,83000.0
United States of America,Post Graduate Degree,6.0,125000.0
United States of America,Less than Bachelor's Degree,4.0,65000.0
United States of America,Less than Bachelor's Degree,5.0,150000.0
United States of America,Master's Degree,2.0,170000.0
United States of America,Master's Degree,8.0,90000.0
United States of America,Bachelor's Degree,4.0,91350.0
United States of America,Master's Degree,3.0,130000.0
United States of America,Less than Bachelor's Degree,6.0,89000.0
United States of America,Bachelor's Degree,2.0,55000.0
United States of America,Less than Bachelor's Degree,3.0,90000.0
United States of America,Post Graduate Degree,8.0,130000.0
United States of America,Bachelor's Degree,6.0,75000.0
United States of America,Bachelor's Degree,9.0,105000.0
United States of America,Bachelor's Degree,3.0,66000.0
United States of America,Less than Bachelor's Degree,8.0,54000.0
United States of America,Bachelor's Degree,3.0,120000.0
United States of America,Master's Degree,9.0,130000.0
United States of America,Bachelor's Degree,2.0,65000.0
United States of America,Bachelor's Degree,4.0,60000.0
United States of America,Bachelor's Degree,0.5,73000.0
United States of America,Master's Degree,9.0,86000.0
United States of America,Bachelor's Degree,7.0,100000.0
United States of America,Less than Bachelor's Degree,10.0,140000.0
United States of America,Bachelor's Degree,1.0,60000.0
United States of America,Bachelor's Degree,5.0,24000.0
United States of America,Less than Bachelor's Degree,0.5,56400.0
United States of America,Bachelor's Degree,5.0,50000.0
United States of America,Bachelor's Degree,2.0,145000.0
United States of America,Less than Bachelor's Degree,6.0,141000.0
United States of America,Bachelor's Degree,7.0,102974.0
United States of America,Post Graduate Degree,1.0,64000.0
United States of America,Master's Degree,6.0,200000.0
United States of America,Bachelor's Degree,10.0,200000.0
United States of America,Bachelor's Degree,3.0,122000.0
United States of America,Master's Degree,5.0,125000.0
United States of America,Bachelor's Degree,7.0,60000.0
United States of America,Post Graduate Degree,7.0,196950.0
United States of America,Bachelor's Degree,2.0,69000.0
United States of America,Bachelor's Degree,5.0,106000.0
United States of America,Bachelor's Degree,1.0,18000.0
United States of America,Bachelor's Degree,10.0,50000.0
United States of America,Bachelor's Degree,3.0,80000.0
United States of America,Bachelor's Degree,1.0,65000.0
United States of America,Less than Bachelor's Degree,6.0,33000.0
United States of America,Bachelor's Degree,10.0,120000.0
United States of America,Bachelor's Degree,7.0,162000.0
United States of America,Bachelor's Degree,3.0,100000.0
United States of America,Bachelor's Degree,10.0,45000.0
United States of America,Bachelor's Degree,7.0,115000.0
United States of America,Less than Bachelor's Degree,5.0,108000.0
United States of America,Bachelor's Degree,3.0,100000.0
United States of America,Bachelor's Degree,2.0,100000.0
United States of America,Less than Bachelor's Degree,7.0,78000.0
United States of America,Bachelor's Degree,10.0,105600.0
United States of America,Master's Degree,6.0,54000.0
United States of America,Master's Degree,7.0,180000.0
United States of America,Bachelor's Degree,7.0,190000.0
United States of America,Bachelor's Degree,6.0,200000.0
United States of America,Less than Bachelor's Degree,6.0,125000.0
United States of America,Master's Degree,6.0,150000.0
United States of America,Bachelor's Degree,3.0,114000.0
United States of America,Bachelor's Degree,9.0,90000.0
United States of America,Bachelor's Degree,4.0,105000.0
United States of America,Bachelor's Degree,7.0,160000.0
United States of America,Less than Bachelor's Degree,10.0,120000.0
United States of America,Less than Bachelor's Degree,4.0,40000.0
United States of America,Bachelor's Degree,4.0,84000.0
United States of America,Bachelor's Degree,10.0,140000.0
United States of America,Bachelor's Degree,3.0,90000.0
United States of America,Bachelor's Degree,6.0,86000.0
United States of America,Less than Bachelor's Degree,4.0,50000.0
United States of America,Post Graduate Degree,5.0,32000.0
United States of America,Bachelor's Degree,6.0,65000.0
United States of America,Bachelor's Degree,1.0,42500.0
United States of America,Bachelor's Degree,6.0,175000.0
United States of America,Master's Degree,10.0,98000.0
United States of America,Less than Bachelor's Degree,10.0,137500.0
United States of America,Master's Degree,4.0,86000.0
United States of America,Post Graduate Degree,5.0,115000.0
United States of America,Less than Bachelor's Degree,8.0,60000.0
United States of America,Bachelor's Degree,4.0,75000.0
United States of America,Bachelor's Degree,6.0,106000.0
United States of America,Bachelor's Degree,1.0,50000.0
United States of America,Bachelor's Degree,6.0,36000.0
United States of America,Bachelor's Degree,6.0,115000.0
United States of America,Bachelor's Degree,4.0,93000.0
United States of America,Bachelor's Degree,8.0,144000.0
United States of America,Bachelor's Degree,5.0,98000.0
United States of America,Master's Degree,5.0,140000.0
United States of America,Less than Bachelor's Degree,4.0,102000.0
United States of America,Bachelor's Degree,2.0,100000.0
United States of America,Less than Bachelor's Degree,3.0,148000.0
United States of America,Less than Bachelor's Degree,3.0,130000.0
United States of America,Master's Degree,3.0,117000.0
United States of America,Bachelor's Degree,8.0,105000.0
United States of America,Bachelor's Degree,8.0,72000.0
United States of America,Master's Degree,5.0,40000.0
United States of America,Bachelor's Degree,2.0,80000.0
United States of America,Bachelor's Degree,3.0,170000.0
United States of America,Bachelor's Degree,10.0,170000.0
United States of America,Bachelor's Degree,7.0,75000.0
United States of America,Less than Bachelor's Degree,6.0,80000.0
United States of America,Bachelor's Degree,4.0,82000.0
United States of America,Less than Bachelor's Degree,2.0,100000.0
United States of America,Less than Bachelor's Degree,4.0,104000.0
United States of America,Master's Degree,10.0,130000.0
United States of America,Master's Degree,0.5,109000.0
United States of America,Bachelor's Degree,3.0,70000.0
United States of America,Master's Degree,10.0,48000.0
United States of America,Bachelor's Degree,7.0,75000.0
United States of America,Post Graduate Degree,6.0,75000.0
United States of America,Bachelor's Degree,7.0,200000.0
United States of America,Bachelor's Degree,6.0,105000.0
United States of America,Less than Bachelor's Degree,10.0,105000.0
United States of America,Bachelor's Degree,1.0,82000.0
United States of America,Bachelor's Degree,4.0,180000.0
United States of America,Bachelor's Degree,1.0,100000.0
United States of America,Bachelor's Degree,10.0,115000.0
United States of America,Master's Degree,5.0,103000.0
United States of America,Master's Degree,7.0,55000.0
United States of America,Master's Degree,4.0,72000.0
United States of America,Bachelor's Degree,3.0,85000.0
United States of America,Master's Degree,1.0,150000.0
United States of America,Less than Bachelor's Degree,10.0,180000.0
United States of America,Bachelor's Degree,5.0,115000.0
United States of America,Bachelor's Degree,10.0,79000.0
United States of America,Post Graduate Degree,1.0,100000.0
United States of America,Master's Degree,5.0,140000.0
United States of America,Bachelor's Degree,8.0,95000.0
United States of America,Less than Bachelor's Degree,4.0,55000.0
United States of America,Less than Bachelor's Degree,2.0,15000.0
United States of America,Bachelor's Degree,1.0,67600.0
United States of America,Less than Bachelor's Degree,9.0,120000.0
United States of America,Post Graduate Degree,6.0,200000.0
United States of America,Master's Degree,2.0,72000.0
United States of America,Master's Degree,2.0,89000.0
United States of America,Less than Bachelor's Degree,3.0,80000.0
United States of America,Bachelor's Degree,2.0,72000.0
United States of America,Less than Bachelor's Degree,2.0,45000.0
United States of America,Bachelor's Degree,8.0,120000.0
United States of America,Less than Bachelor's Degree,10.0,139000.0
United States of America,Bachelor's Degree,2.0,70500.0
United States of America,Bachelor's Degree,5.0,150000.0
United States of America,Less than Bachelor's Degree,5.0,120000.0
United States of America,Bachelor's Degree,4.0,140000.0
United States of America,Bachelor's Degree,5.0,111000.0
United States of America,Bachelor's Degree,6.0,160000.0
United States of America,Post Graduate Degree,8.0,107990.0
United States of America,Master's Degree,8.0,140000.0
United States of America,Master's Degree,3.0,108675.0
United States of America,Bachelor's Degree,6.0,93000.0
United States of America,Less than Bachelor's Degree,3.0,85000.0
United States of America,Bachelor's Degree,9.0,90000.0
United States of America,Bachelor's Degree,5.0,190000.0
United States of America,Bachelor's Degree,7.0,85000.0
United States of America,Bachelor's Degree,8.0,140000.0
United States of America,Bachelor's Degree,5.0,40000.0
United States of America,Bachelor's Degree,2.0,50000.0
United States of America,Bachelor's Degree,7.0,60000.0
United States of America,Less than Bachelor's Degree,9.0,145000.0
United States of America,Bachelor's Degree,5.0,120000.0
United States of America,Post Graduate Degree,3.0,175000.0
United States of America,Bachelor's Degree,4.0,92000.0
United States of America,Bachelor's Degree,6.0,150000.0
United States of America,Bachelor's Degree,5.0,86000.0
United States of America,Less than Bachelor's Degree,3.0,70000.0
United States of America,Bachelor's Degree,9.0,94000.0
United States of America,Bachelor's Degree,0.5,145000.0
United States of America,Bachelor's Degree,1.0,55000.0
United States of America,Master's Degree,8.0,124000.0
United States of America,Bachelor's Degree,8.0,115000.0
United States of America,Bachelor's Degree,10.0,117000.0
United States of America,Bachelor's Degree,3.0,100000.0
United States of America,Bachelor's Degree,5.0,95000.0
United States of America,Bachelor's Degree,5.0,130000.0
United States of America,Bachelor's Degree,6.0,125000.0
United States of America,Bachelor's Degree,9.0,120000.0
United States of America,Less than Bachelor's Degree,9.0,150000.0
United States of America,Bachelor's Degree,2.0,73000.0
United States of America,Master's Degree,8.0,107000.0
United States of America,Bachelor's Degree,2.0,120000.0
United States of America,Bachelor's Degree,4.0,70000.0
United States of America,Bachelor's Degree,1.0,115000.0
United States of America,Master's Degree,9.0,105000.0
United States of America,Bachelor's Degree,8.0,130000.0
United States of America,Master's Degree,5.0,145000.0
United States of America,Bachelor's Degree,3.0,75000.0
United States of America,Bachelor's Degree,6.0,64584.0
United States of America,Bachelor's Degree,4.0,145000.0
United States of America,Bachelor's Degree,3.0,85000.0
United States of America,Less than Bachelor's Degree,7.0,100000.0
United States of America,Bachelor's Degree,9.0,104000.0
United States of America,Bachelor's Degree,8.0,99000.0
United States of America,Less than Bachelor's Degree,1.0,70000.0
United States of America,Less than Bachelor's Degree,7.0,120000.0
United States of America,Bachelor's Degree,5.0,96000.0
United States of America,Bachelor's Degree,3.0,200000.0
United States of America,Less than Bachelor's Degree,6.0,95000.0
United States of America,Less than Bachelor's Degree,1.0,44000.0
United States of America,Bachelor's Degree,6.0,93000.0
United States of America,Bachelor's Degree,4.0,71000.0
United States of America,Bachelor's Degree,6.0,90000.0
United States of America,Less than Bachelor's Degree,8.0,97000.0
United States of America,Bachelor's Degree,4.0,74000.0
United States of America,Bachelor's Degree,3.0,71000.0
United States of America,Bachelor's Degree,7.0,122000.0
United States of America,Bachelor's Degree,3.0,90000.0
United States of America,Bachelor's Degree,2.0,80000.0
United States of America,Bachelor's Degree,6.0,100000.0
United States of America,Bachelor's Degree,1.0,38400.0
United States of America,Less than Bachelor's Degree,10.0,130000.0
United States of America,Master's Degree,10.0,100000.0
United States of America,Bachelor's Degree,9.0,170000.0
United States of America,Bachelor's Degree,0.5,55600.0
United States of America,Less than Bachelor's Degree,7.0,140000.0
United States of America,Bachelor's Degree,3.0,95000.0
United States of America,Bachelor's Degree,8.0,190000.0
United States of America,Post Graduate Degree,5.0,75000.0
United States of America,Bachelor's Degree,5.0,60850.0
United States of America,Less than Bachelor's Degree,3.0,105000.0
United States of America,Bachelor's Degree,7.0,100000.0
United States of America,Master's Degree,3.0,100000.0
United States of America,Bachelor's Degree,6.0,90000.0
United States of America,Bachelor's Degree,5.0,100000.0
United States of America,Bachelor's Degree,5.0,100000.0
United States of America,Bachelor's Degree,6.0,123600.0
United States of America,Bachelor's Degree,6.0,200000.0
United States of America,Bachelor's Degree,1.0,90000.0
United States of America,Bachelor's Degree,2.0,58000.0
United States of America,Bachelor's Degree,5.0,73000.0
United States of America,Bachelor's Degree,4.0,66000.0
United States of America,Bachelor's Degree,7.0,130000.0
United States of America,Bachelor's Degree,8.0,105000.0
United States of America,Less than Bachelor's Degree,9.0,98000.0
United States of America,Master's Degree,7.0,110000.0
United States of America,Bachelor's Degree,4.0,45500.0
United States of America,Bachelor's Degree,2.0,145000.0
United States of America,Bachelor's Degree,7.0,115000.0
United States of America,Bachelor's Degree,3.0,158000.0
United States of America,Bachelor's Degree,4.0,132000.0
United States of America,Master's Degree,0.5,50000.0
United States of America,Bachelor's Degree,6.0,194000.0
United States of America,Bachelor's Degree,3.0,200000.0
United States of America,Post Graduate Degree,6.0,100000.0
United States of America,Bachelor's Degree,3.0,100000.0
United States of America,Bachelor's Degree,2.0,80000.0
United States of America,Master's Degree,3.0,104832.0
United States of America,Bachelor's Degree,7.0,100000.0
United States of America,Bachelor's Degree,5.0,120000.0
United States of America,Bachelor's Degree,7.0,175000.0
United States of America,Bachelor's Degree,5.0,93500.0
United States of America,Bachelor's Degree,3.0,130000.0
United States of America,Bachelor's Degree,3.0,60000.0
United States of America,Bachelor's Degree,8.0,170000.0
United States of America,Bachelor's Degree,2.0,73000.0
United States of America,Bachelor's Degree,4.0,75000.0
United States of America,Less than Bachelor's Degree,8.0,140000.0
United States of America,Less than Bachelor's Degree,6.0,85000.0
United States of America,Bachelor's Degree,3.0,93000.0
United States of America,Less than Bachelor's Degree,9.0,200000.0
United States of America,Bachelor's Degree,5.0,79997.0
United States of America,Post Graduate Degree,8.0,150000.0
United States of America,Bachelor's Degree,10.0,170000.0
United States of America,Master's Degree,10.0,150000.0
United States of America,Master's Degree,4.0,90000.0
United States of America,Master's Degree,7.0,135000.0
United States of America,Less than Bachelor's Degree,5.0,55000.0
United States of America,Bachelor's Degree,10.0,169000.0
United States of America,Bachelor's Degree,4.0,87500.0
United States of America,Bachelor's Degree,9.0,130000.0
United States of America,Bachelor's Degree,4.0,98500.0
United States of America,Master's Degree,3.0,92000.0
United States of America,Bachelor's Degree,1.0,89500.0
United States of America,Bachelor's Degree,6.0,120000.0
United States of America,Bachelor's Degree,0.5,100000.0
United States of America,Bachelor's Degree,3.0,190000.0
United States of America,Master's Degree,8.0,75000.0
United States of America,Less than Bachelor's Degree,6.0,87000.0
United States of America,Bachelor's Degree,6.0,128000.0
United States of America,Bachelor's Degree,5.0,105000.0
United States of America,Bachelor's Degree,6.0,140000.0
United States of America,Bachelor's Degree,5.0,100000.0
United States of America,Bachelor's Degree,1.0,172000.0
United States of America,Bachelor's Degree,2.0,80000.0
United States of America,Less than Bachelor's Degree,5.0,65000.0
United States of America,Post Graduate Degree,0.5,110000.0
United States of America,Bachelor's Degree,5.0,102000.0
United States of America,Bachelor's Degree,1.0,101000.0
United States of America,Bachelor's Degree,4.0,140000.0
United States of America,Bachelor's Degree,2.0,59000.0
United States of America,Bachelor's Degree,10.0,177000.0
United States of America,Bachelor's Degree,6.0,52000.0
United States of America,Master's Degree,6.0,168000.0
United States of America,Master's Degree,6.0,125000.0
United States of America,Bachelor's Degree,7.0,130000.0
United States of America,Master's Degree,10.0,120000.0
United States of America,Master's Degree,5.0,50000.0
United States of America,Master's Degree,2.0,60000.0
United States of America,Bachelor's Degree,2.0,80000.0
United States of America,Bachelor's Degree,7.0,97343.0
United States of America,Bachelor's Degree,3.0,150000.0
United States of America,Bachelor's Degree,0.5,150000.0
United States of America,Bachelor's Degree,4.0,83500.0
United States of America,Less than Bachelor's Degree,2.0,50000.0
United States of America,Bachelor's Degree,5.0,200000.0
United States of America,Bachelor's Degree,2.0,50000.0
United States of America,Less than Bachelor's Degree,3.0,85000.0
United States of America,Bachelor's Degree,1.0,110000.0
United States of America,Bachelor's Degree,2.0,81200.0
United States of America,Bachelor's Degree,5.0,85000.0
United States of America,Bachelor's Degree,0.5,42000.0
United States of America,Bachelor's Degree,8.0,118000.0
United States of America,Master's Degree,6.0,125000.0
United States of America,Master's Degree,5.0,101000.0
United States of America,Bachelor's Degree,5.0,105000.0
United States of America,Bachelor's Degree,5.0,200000.0
United States of America,Bachelor's Degree,5.0,155000.0
United States of America,Bachelor's Degree,2.0,180000.0
United States of America,Bachelor's Degree,8.0,145000.0
United States of America,Bachelor's Degree,8.0,145000.0
United States of America,Bachelor's Degree,4.0,155000.0
United States of America,Bachelor's Degree,2.0,55000.0
United States of America,Bachelor's Degree,3.0,120000.0
United States of America,Less than Bachelor's Degree,5.0,90000.0
United States of America,Bachelor's Degree,10.0,200000.0
United States of America,Less than Bachelor's Degree,3.0,60000.0
United States of America,Bachelor's Degree,3.0,57600.0
United States of America,Bachelor's Degree,10.0,105000.0
United States of America,Less than Bachelor's Degree,3.0,200000.0
United States of America,Bachelor's Degree,6.0,140000.0
United States of America,Bachelor's Degree,6.0,130000.0
United States of America,Bachelor's Degree,2.0,136000.0
United States of America,Less than Bachelor's Degree,4.0,93000.0
United States of America,Less than Bachelor's Degree,5.0,95000.0
United States of America,Master's Degree,5.0,200000.0
United States of America,Bachelor's Degree,10.0,200000.0
United States of America,Master's Degree,2.0,80000.0
United States of America,Less than Bachelor's Degree,3.0,110000.0
United States of America,Bachelor's Degree,4.0,118000.0
United States of America,Bachelor's Degree,9.0,146000.0
United States of America,Bachelor's Degree,10.0,131000.0
United States of America,Bachelor's Degree,5.0,160000.0
United States of America,Bachelor's Degree,3.0,84000.0
United States of America,Less than Bachelor's Degree,6.0,85000.0
United States of America,Bachelor's Degree,4.0,68500.0
United States of America,Less than Bachelor's Degree,1.0,60000.0
United States of America,Less than Bachelor's Degree,3.0,27000.0
United States of America,Less than Bachelor's Degree,2.0,125000.0
United States of America,Bachelor's Degree,7.0,114000.0
United States of America,Master's Degree,3.0,110600.0
United States of America,Master's Degree,10.0,180000.0
United States of America,Less than Bachelor's Degree,9.0,160000.0
United States of America,Bachelor's Degree,3.0,130000.0
United States of America,Bachelor's Degree,6.0,120000.0
United States of America,Master's Degree,8.0,122000.0
United States of America,Bachelor's Degree,1.0,143000.0
United States of America,Bachelor's Degree,7.0,125000.0
United States of America,Bachelor's Degree,5.0,105000.0
United States of America,Bachelor's Degree,2.0,200000.0
United States of America,Bachelor's Degree,5.0,130000.0
United States of America,Bachelor's Degree,4.0,90000.0
United States of America,Master's Degree,5.0,79000.0
United States of America,Less than Bachelor's Degree,10.0,120000.0
United States of America,Bachelor's Degree,5.0,200000.0
United States of America,Bachelor's Degree,3.0,160000.0
United States of America,Bachelor's Degree,8.0,200000.0
United States of America,Bachelor's Degree,5.0,58000.0
United States of America,Bachelor's Degree,8.0,115000.0
United States of America,Master's Degree,2.0,90000.0
United States of America,Less than Bachelor's Degree,1.0,44000.0
United States of America,Bachelor's Degree,8.0,175000.0
United States of America,Bachelor's Degree,9.0,60000.0
United States of America,Less than Bachelor's Degree,5.0,107000.0
United States of America,Less than Bachelor's Degree,7.0,85000.0
United States of America,Bachelor's Degree,8.0,42000.0
United States of America,Bachelor's Degree,7.0,63000.0
United States of America,Master's Degree,10.0,143000.0
United States of America,Bachelor's Degree,5.0,102700.0
United States of America,Bachelor's Degree,3.0,147000.0
United States of America,Master's Degree,4.0,108000.0
United States of America,Bachelor's Degree,10.0,134000.0
United States of America,Bachelor's Degree,6.0,160000.0
United States of America,Post Graduate Degree,3.0,47500.0
United States of America,Master's Degree,3.0,95000.0
United States of America,Bachelor's Degree,1.0,48000.0
United States of America,Bachelor's Degree,7.0,75000.0
United States of America,Master's Degree,8.0,157000.0
United States of America,Less than Bachelor's Degree,2.0,80000.0
United States of America,Master's Degree,1.0,119000.0
United States of America,Less than Bachelor's Degree,0.5,40000.0
United States of America,Bachelor's Degree,4.0,105000.0
United States of America,Less than Bachelor's Degree,7.0,85000.0
United States of America,Bachelor's Degree,1.0,56000.0
United States of America,Bachelor's Degree,9.0,100000.0
United States of America,Post Graduate Degree,5.0,73000.0
United States of America,Master's Degree,10.0,200000.0
United States of America,Bachelor's Degree,3.0,105000.0
United States of America,Bachelor's Degree,5.0,90000.0
United States of America,Bachelor's Degree,6.0,96000.0
United States of America,Bachelor's Degree,7.0,140000.0
United States of America,Bachelor's Degree,0.5,48000.0
United States of America,Bachelor's Degree,10.0,140000.0
United States of America,Bachelor's Degree,8.0,175000.0
United States of America,Bachelor's Degree,8.0,104000.0
United States of America,Master's Degree,2.0,160000.0
United States of America,Master's Degree,3.0,115000.0
United States of America,Less than Bachelor's Degree,4.0,150000.0
United States of America,Master's Degree,1.0,87500.0
United States of America,Bachelor's Degree,10.0,160000.0
United States of America,Bachelor's Degree,10.0,149000.0
United States of America,Bachelor's Degree,10.0,185000.0
United States of America,Bachelor's Degree,2.0,30000.0
United States of America,Bachelor's Degree,3.0,68000.0
United States of America,Master's Degree,6.0,120000.0
United States of America,Bachelor's Degree,5.0,80000.0
United States of America,Bachelor's Degree,9.0,160000.0
United States of America,Bachelor's Degree,4.0,115000.0
United States of America,Less than Bachelor's Degree,1.0,50000.0
United States of America,Bachelor's Degree,10.0,130000.0
United States of America,Bachelor's Degree,2.0,135000.0
United States of America,Bachelor's Degree,2.0,60000.0
United States of America,Post Graduate Degree,3.0,48000.0
United States of America,Less than Bachelor's Degree,5.0,115500.0
United States of America,Bachelor's Degree,5.0,98000.0
